OTU ID	wt1	wt2	wt3	wt4	wt5	wt6	wt7	wt8	wt9	yj1	yj2	yj3	yj4	yj5	yj6	yj7	yj8	yj9
OTU_1	101	68	79	43	37	78	276	101	115	152	168	81	120	112	52	388	173	83
OTU_2	5328	5319	5359	11372	8159	7584	11353	10354	13091	6014	5515	8653	6593	5234	8369	5223	6748	6801
OTU_3	268	327	197	118	193	238	511	167	120	617	232	289	343	299	169	774	321	84
OTU_4	49	33	30	24	17	20	250	78	80	49	30	27	24	17	20	848	263	80
OTU_5	68	77	42	62	33	47	995	46	26	96	86	49	46	28	62	214	104	30
OTU_6	462	546	588	219	335	519	1015	414	450	1715	2471	1249	1728	2433	1517	1690	730	870
OTU_7	25	21	11	9	14	7	241	48	58	54	14	22	31	11	15	401	96	74
OTU_8	6	81	17	25	42	40	18	18	8	240	245	39	72	165	163	215	14	12
OTU_9	183	158	166	111	184	277	340	158	125	159	279	99	248	247	136	269	149	79
OTU_10	5	2	7	4	0	5	4	1	3	2	4	1	4	2	1	4	1	1
OTU_11	10	2	11	4	1	8	1	1	3	1	3	2	3	0	3	3	2	0
OTU_12	82	54	82	36	58	113	113	48	67	43	47	21	74	21	14	178	65	14
OTU_13	763	1213	3056	403	723	4399	2198	211	1302	552	554	321	342	143	301	635	355	46
OTU_14	31	14	13	14	9	12	58	13	14	15	21	7	15	6	7	126	135	13
OTU_15	8	14	6	9	4	1	5	2	0	6	11	14	1	3	3	23	2	0
OTU_16	5	4	4	1	8	7	17	1	6	8	8	3	6	58	4	63	3	1
OTU_17	11	4	9	9	4	13	8	5	1	5	8	4	6	2	1	22	3	4
OTU_18	2	3	6	2	2	4	4	0	1	2	1	4	0	3	0	1	0	1
OTU_19	1	0	4	1	2	2	2	0	0	2	2	2	2	6	7	4	3	1
OTU_20	237	156	49	67	81	117	52	34	29	129	186	243	113	55	92	94	21	8
OTU_21	87	74	66	38	62	121	91	62	94	95	168	58	198	172	91	104	44	43
OTU_22	279	334	345	157	153	270	380	191	271	1392	1551	581	1428	2681	1442	922	486	304
OTU_23	22	15	28	14	34	34	52	25	18	28	34	14	39	35	26	30	20	14
OTU_24	18	11	26	7	13	14	6	5	6	8	18	5	0	1	15	2	0	2
OTU_25	34	30	27	27	20	29	110	24	25	37	25	26	27	13	18	90	76	13
OTU_26	30	13	16	5	12	22	15	12	9	14	20	10	9	12	7	8	8	4
OTU_27	34	9	31	11	28	35	138	31	27	33	13	12	31	11	9	86	45	33
OTU_28	2	5	7	1	2	5	0	0	0	3	3	1	5	7	3	2	0	0
OTU_29	107	85	109	51	52	101	195	56	51	75	61	42	80	52	70	77	81	39
OTU_30	2	29	4	4	6	35	1	2	2	9	11	4	2	40	5	209	1	1
OTU_31	356	197	5	10	1	7	24	10	10	21	13	44	1	1	3	29	17	3
OTU_32	4	2	7	2	3	5	62	136	115	1	6	4	6	4	3	269	66	117
OTU_33	30	15	16	7	12	14	43	27	12	24	26	4	13	11	3	51	26	10
OTU_34	34	40	235	31	26	96	8	10	8	18	24	12	24	13	10	12	6	3
OTU_35	6	3	7	4	3	0	9	9	4	5	6	1	4	2	1	6	4	7
OTU_36	3	4	1	1	1	7	18	5	5	2	2	0	1	0	1	43	17	3
OTU_37	11	7	16	2	12	18	12	6	2	22	7	1	17	7	10	17	10	3
OTU_38	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	2	1	0
OTU_39	2	1	3	2	3	3	1	2	2	1	3	5	3	2	2	5	2	2
OTU_40	10	8	3	3	3	9	5	2	2	5	9	2	8	8	2	5	4	2
OTU_41	0	3	2	1	2	5	8	5	0	4	2	2	9	25	2	6	2	12
OTU_42	210	465	267	92	1532	913	439	1696	730	333	379	304	966	2536	132	72	54	181
OTU_43	101	75	91	40	40	85	114	41	37	77	104	53	76	106	53	68	41	38
OTU_44	1	0	2	0	0	0	3	1	0	0	0	0	0	3	0	1	1	0
OTU_45	0	5	0	1	0	0	4	4	2	0	1	1	0	0	3	2	1	0
OTU_46	22	14	16	13	11	14	15	5	8	7	14	8	8	8	14	12	7	5
OTU_47	26	11	21	9	7	15	268	30	51	1	6	1	11	4	6	21	16	3
OTU_48	24	80	15	11	29	24	75	95	8	63	32	17	26	31	15	154	35	10
OTU_49	44	34	32	20	28	38	98	26	27	30	36	19	39	27	23	38	17	14
OTU_50	3	4	4	4	3	4	3	0	2	2	3	2	3	4	7	4	1	2
OTU_51	0	6	7	0	0	2	18	0	3	17	3	19	5	85	16	25	4	3
OTU_52	174	106	107	57	86	178	109	52	58	110	216	76	130	134	91	68	47	28
OTU_53	9	11	9	10	14	20	8	4	2	10	22	3	17	14	6	8	5	2
