filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	21e717f1-c249-44bb-8b5c-41b889183e42	4dd5f26403973742429ebeec317fec22caaed8da	0	405	4	14936.499000	40.088750	40088	TRUE	14936.621000	39966	39.966750	14428	11.282681	0.000000	76.703255	8.830397	75.541862	9.385601
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	2201c6a3-c15c-4f83-9fab-df2fb864a9e2	4dd5f26403973742429ebeec317fec22caaed8da	0	226	3	3026.835500	12.210750	12210	TRUE	3026.895500	12150	12.150750	4610	11.525959	0.000000	76.183815	9.003542	75.306473	9.502578
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	2543e75a-6b03-4ca2-adc5-3b7bbc577637	4dd5f26403973742429ebeec317fec22caaed8da	0	377	1	18425.695250	27.840750	27840	TRUE	18425.790250	27745	27.745750	9657	11.615725	0.000000	72.374626	9.522977	73.472191	9.450922
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	2331827c-0eda-4836-a907-d89e35d4658e	4dd5f26403973742429ebeec317fec22caaed8da	0	351	1	21434.186000	15.927000	15927	TRUE	21434.281000	15832	15.832000	5717	10.342406	0.000000	69.258018	9.349833	70.686630	9.522461
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1caf70cc-08e3-4af3-890c-4b68003ced09	4dd5f26403973742429ebeec317fec22caaed8da	0	262	1	18652.234500	36.208500	36208	TRUE	18652.318500	36124	36.124500	12766	11.961599	0.000000	71.508904	8.137817	70.944176	9.266874
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1aba486f-06f1-4f7d-9dcd-f9ecf660ae19	4dd5f26403973742429ebeec317fec22caaed8da	0	361	1	9463.937000	43.715250	43715	TRUE	9464.115000	43537	43.537250	14637	11.993972	0.000000	76.876396	10.042413	78.324005	10.333296
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	2554c142-9e9e-41b6-915b-53c234b02e95	4dd5f26403973742429ebeec317fec22caaed8da	0	87	4	6524.990750	29.700750	29700	FALSE	6525.091750	29599	29.599750	12690	4.500477	0.000000	72.894066	7.272092	75.069885	9.604259
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1cc9308b-c9ce-482e-b392-23986baaff1b	4dd5f26403973742429ebeec317fec22caaed8da	0	29	2	15107.431250	18.735000	18735	TRUE	15107.542250	18624	18.624000	7138	9.279222	0.000000	70.470032	8.657252	72.133957	9.172861
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1adaa874-c919-4270-b716-2c0aaf37e263	4dd5f26403973742429ebeec317fec22caaed8da	0	294	1	19983.323000	8.217750	8217	TRUE	19983.443000	8097	8.097750	2803	8.331271	0.000000	65.275681	9.003542	67.924072	9.430161
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	2357c9bb-f46a-438b-8cde-b8874b6d9f70	4dd5f26403973742429ebeec317fec22caaed8da	0	175	4	5668.692500	28.824000	28824	TRUE	5668.713500	28803	28.803000	11031	9.888819	0.000000	71.508904	9.349833	72.590073	9.734105
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	258cc094-59f1-4b3a-a718-b9eccad6916c	4dd5f26403973742429ebeec317fec22caaed8da	0	57	1	2939.986250	12.409750	12409	TRUE	2939.994250	12401	12.401750	3577	9.903461	0.000000	70.643173	7.098947	77.317947	10.007957
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1b589bf4-b57d-47ac-8839-7130b17a13e6	4dd5f26403973742429ebeec317fec22caaed8da	0	342	1	15657.427000	10.057500	10057	TRUE	15657.535000	9949	9.949500	3562	12.309114	0.000000	74.798660	9.003542	74.585487	9.212981
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1ba7f0f7-9349-447e-b8a9-2b9224685208	4dd5f26403973742429ebeec317fec22caaed8da	0	100	1	913.509500	7.749750	7749	TRUE	913.512500	7746	7.746750	3054	10.095273	0.000000	72.028336	8.137817	71.209076	9.856417
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1cffb7fb-10b5-47bf-8c1f-657b2bf969a0	4dd5f26403973742429ebeec317fec22caaed8da	0	323	1	4804.011250	20.861250	20861	TRUE	4804.045250	20827	20.827250	8448	10.307388	0.000000	77.395836	8.657252	75.402840	9.524568
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	261e53fe-1334-4047-a115-3d6120aef7ca	4dd5f26403973742429ebeec317fec22caaed8da	0	112	2	14561.068750	28.652250	28652	TRUE	14561.339750	28381	28.381250	10364	10.266591	0.000000	74.798660	8.657252	72.769768	9.472434
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	23c4af5f-affb-46f6-9c88-1997358fa2a2	4dd5f26403973742429ebeec317fec22caaed8da	0	285	1	10748.587250	1.645500	1645	TRUE	10748.648250	1584	1.584500	614	10.320868	0.000000	73.240349	10.042413	74.088737	9.292202
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1c97a24b-cda6-4556-83f9-172723207689	4dd5f26403973742429ebeec317fec22caaed8da	0	204	3	17897.622000	23.943500	23943	TRUE	17897.856000	23709	23.709500	9010	11.256252	0.000000	76.703255	9.003542	75.608284	9.782973
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	23a97969-d9a6-4b00-9c58-ff92ba7fa9e8	4dd5f26403973742429ebeec317fec22caaed8da	0	422	1	15377.248500	40.575000	40575	TRUE	15377.341500	40482	40.482000	14550	10.101350	0.000000	71.682045	9.349833	72.461494	9.164355
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	2621fb48-fc03-4da8-82f9-10566fde507c	4dd5f26403973742429ebeec317fec22caaed8da	0	237	1	13998.575000	14.521750	14521	TRUE	13998.612000	14484	14.484750	5004	12.138360	0.000000	73.586639	9.522977	75.452408	9.563234
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	262af343-7780-4659-b772-e7648ece6ff2	4dd5f26403973742429ebeec317fec22caaed8da	0	252	3	1715.491750	0.891750	891	TRUE	1715.580750	802	0.802750	330	7.484722	0.000000	72.028336	8.830397	73.032600	9.858346
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1d5d5d10-6de3-4a84-b7af-2d8820f2d955	4dd5f26403973742429ebeec317fec22caaed8da	0	39	1	19945.183500	30.947500	30947	TRUE	19945.248500	30882	30.882500	10380	10.573524	0.000000	68.565437	9.349833	70.995880	9.372283
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1e8d2719-f727-40d4-a6e8-720883815555	4dd5f26403973742429ebeec317fec22caaed8da	0	387	3	6754.076500	20.393750	20393	TRUE	6754.089500	20380	20.380750	7444	11.984780	0.000000	78.088417	9.696122	79.614578	9.870276
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1c9d22db-0bd9-4581-adde-fe968cd07758	4dd5f26403973742429ebeec317fec22caaed8da	0	179	4	7634.227750	35.618250	35618	TRUE	7634.307750	35538	35.538250	12004	11.699984	0.000000	72.374626	9.696122	74.874512	9.541685
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	242b5823-9f97-4632-ba16-dad44af0b237	4dd5f26403973742429ebeec317fec22caaed8da	0	376	3	12611.565750	26.281750	26281	TRUE	12611.611750	26235	26.235750	9421	11.339295	0.000000	73.759789	9.522977	74.663879	9.747368
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1e8f94ea-8bed-4ce3-9b4d-abdf801f20cd	4dd5f26403973742429ebeec317fec22caaed8da	0	368	2	18167.809250	5.916000	5916	TRUE	18168.036250	5689	5.689000	1816	11.742022	0.000000	73.413498	10.042413	70.569160	9.001840
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1cb9c2a1-4af9-4fdf-9e78-7eafb91c2cff	4dd5f26403973742429ebeec317fec22caaed8da	0	176	3	12825.795000	2.892250	2892	TRUE	12825.847000	2840	2.840250	1032	11.249836	0.000000	74.106079	8.484107	74.391159	9.500417
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	2643cb8c-5f1d-43aa-8505-a77dfe2b18ab	4dd5f26403973742429ebeec317fec22caaed8da	0	56	2	10850.271500	30.883000	30883	TRUE	10850.324500	30830	30.830000	12031	8.439401	0.000000	72.374626	7.964672	70.042793	9.620640
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1ebf8642-829a-45ca-b5f3-c8c48f85df1a	4dd5f26403973742429ebeec317fec22caaed8da	0	453	3	2820.790000	12.193750	12193	FALSE	2820.865000	12118	12.118750	3338	5.864591	0.000000	70.296890	8.830397	74.096619	9.650003
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	24e0c7b6-4e9c-4cc7-811b-02842c6a7db8	4dd5f26403973742429ebeec317fec22caaed8da	0	175	3	17599.224000	12.816000	12816	TRUE	17599.339000	12701	12.701000	4559	10.614346	0.000000	72.547775	9.522977	73.402191	9.429397
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	26b8be66-8473-436c-99dd-f9c92909ed80	4dd5f26403973742429ebeec317fec22caaed8da	0	165	1	8037.893750	28.449500	28449	TRUE	8037.934750	28408	28.408500	10666	11.787089	0.000000	71.855194	9.696122	73.680168	9.341720
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1cc8ecfc-9d02-4f25-a8bc-8ce069d4a91b	4dd5f26403973742429ebeec317fec22caaed8da	0	482	1	10394.898000	29.820000	29820	TRUE	10394.961000	29757	29.757000	11012	10.825202	0.000000	70.643173	9.349833	74.214539	10.566341
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	24fd85ff-fd62-4b98-9b0b-5bccbc340629	4dd5f26403973742429ebeec317fec22caaed8da	0	110	1	5722.443750	27.451750	27451	TRUE	5722.536750	27358	27.358750	9442	11.884646	0.000000	75.664383	9.869267	77.322083	9.907601
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1f687d30-1f95-4846-a9d9-16f925f1ecd7	4dd5f26403973742429ebeec317fec22caaed8da	0	349	1	17913.321750	1.686500	1686	TRUE	17913.355750	1652	1.652500	617	10.939831	0.000000	74.971802	8.830397	75.041466	9.491711
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1fe51349-0f9c-4165-a815-c70b50b55191	4dd5f26403973742429ebeec317fec22caaed8da	0	349	2	1176.996250	0.585250	585	TRUE	1177.047250	534	0.534250	243	10.091391	0.000000	73.240349	9.349833	73.695488	9.355011
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	251547f4-a06c-4e81-b911-854dfedc47c5	4dd5f26403973742429ebeec317fec22caaed8da	0	173	2	2254.100750	5.037000	5037	TRUE	2254.188750	4949	4.949000	1859	10.390592	0.000000	73.586639	8.830397	75.565315	10.567511
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1cd761a1-801e-48e6-87fe-dd33c5ac12af	4dd5f26403973742429ebeec317fec22caaed8da	0	497	2	19261.269500	11.509750	11509	TRUE	19261.404500	11374	11.374750	4232	8.960390	0.000000	72.547775	9.522977	72.415344	10.269520
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1f2fbdc5-5b07-472f-adee-d896caaa093e	4dd5f26403973742429ebeec317fec22caaed8da	0	269	4	16323.286000	37.197250	37197	TRUE	16323.414000	37069	37.069250	13610	11.539114	0.000000	70.470032	9.349833	70.020889	9.129292
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	27610809-a944-4156-ba7b-ce8e50004fd5	4dd5f26403973742429ebeec317fec22caaed8da	0	248	1	3830.084500	2.093750	2093	TRUE	3830.110500	2067	2.067750	730	12.032262	0.000000	72.547775	9.522977	74.713448	9.682616
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	274e6d67-4566-4e34-baa4-a95e4bc083a5	4dd5f26403973742429ebeec317fec22caaed8da	0	464	3	19028.961000	19.923250	19923	TRUE	19029.080000	19804	19.804250	7805	8.732270	0.000000	71.335754	9.176687	72.628090	9.583023
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	20560b09-4f55-4dc2-bbc3-2078cdc4c464	4dd5f26403973742429ebeec317fec22caaed8da	0	152	2	8954.621250	9.950000	9950	TRUE	8954.662250	9909	9.909000	3737	11.257970	0.000000	76.356964	9.003542	75.529579	10.174063
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1cec2c5e-528b-4567-badc-05c865a3b5b9	4dd5f26403973742429ebeec317fec22caaed8da	0	36	2	6102.517250	18.553250	18553	TRUE	6102.563250	18507	18.507250	6715	11.988452	0.000000	77.742126	8.657252	76.920868	10.228560
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	2596faa3-69c8-45b2-ad72-cd6bc5088206	4dd5f26403973742429ebeec317fec22caaed8da	0	382	1	9861.957750	24.178750	24178	TRUE	9862.120750	24015	24.015750	8738	11.152860	0.000000	74.279221	8.310962	72.987000	9.393396
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1d373c75-3a0a-471b-aac1-518e3b0c6bdf	4dd5f26403973742429ebeec317fec22caaed8da	0	479	4	2681.931750	15.236500	15236	TRUE	2681.959750	15208	15.208500	5938	9.245158	0.000000	73.240349	9.003542	75.699333	9.085891
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1d520db5-bf0c-4fcc-bba8-01d478f5ab7e	4dd5f26403973742429ebeec317fec22caaed8da	0	326	3	16847.308750	4.716500	4716	TRUE	16847.431750	4593	4.593500	1477	11.327967	0.000000	74.798660	9.349833	74.665405	9.696800
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	25b2485b-372f-4087-b89e-1c64cfe8df41	4dd5f26403973742429ebeec317fec22caaed8da	0	57	3	15055.555500	24.385750	24385	TRUE	15055.617500	24323	24.323750	9703	12.187262	0.000000	78.434700	9.522977	76.921822	10.017404
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	278b33e0-d7c9-4ba4-ac0d-30f9dcf99e7b	4dd5f26403973742429ebeec317fec22caaed8da	0	117	4	1171.311250	33.168500	33168	TRUE	1171.445250	33034	33.034500	15126	8.397154	0.000000	71.682045	9.003542	71.926605	9.538486
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	202ee14f-5c8a-4460-b9fb-4c8f1ec7708b	4dd5f26403973742429ebeec317fec22caaed8da	0	494	4	10729.912750	31.508750	31508	TRUE	10730.000750	31420	31.420750	12493	9.374792	0.000000	74.106079	8.310962	72.606102	9.059222
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1e2ffd7a-313d-47b8-8fc6-9ff5cbcc8545	4dd5f26403973742429ebeec317fec22caaed8da	0	186	3	13594.755000	1.298500	1298	FALSE	13594.891000	1162	1.162500	275	6.352096	0.000000	72.374626	6.406366	73.091621	10.244552
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1df82d81-ec77-40fe-913f-82fd9e890506	4dd5f26403973742429ebeec317fec22caaed8da	0	409	3	20341.984000	10.565000	10565	TRUE	20342.172000	10377	10.377000	3799	11.906031	0.000000	82.243896	9.522977	81.310669	9.883012
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	25dbe562-ab18-4bd2-92d1-6c03ec72d422	4dd5f26403973742429ebeec317fec22caaed8da	0	499	4	1806.672250	13.739250	13739	TRUE	1806.692250	13719	13.719250	3614	10.798080	0.000000	81.378166	8.657252	75.722725	9.050192
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1e416a39-39a3-4dd4-afaf-b5c476647416	4dd5f26403973742429ebeec317fec22caaed8da	0	114	2	11536.659250	14.175750	14175	TRUE	11536.659250	14175	14.175750	3963	9.624998	0.000000	77.395836	9.869267	76.035378	9.588247
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	25ebc805-cb89-4531-8b95-f73204ea2fc2	4dd5f26403973742429ebeec317fec22caaed8da	0	295	4	822.815250	5.525500	5525	TRUE	822.908250	5432	5.432500	2067	11.265034	0.000000	70.989464	9.003542	70.477859	9.417988
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	25f46ca1-94d9-46cc-b335-12d7f4374eed	4dd5f26403973742429ebeec317fec22caaed8da	0	235	3	5152.229000	19.253750	19253	TRUE	5152.316000	19166	19.166750	7215	12.053553	0.000000	74.625511	8.830397	72.537445	9.396129
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	280bb8c0-8bdb-4bcc-a2e4-21eee2ecd2d3	4dd5f26403973742429ebeec317fec22caaed8da	0	478	1	9785.771250	39.145000	39145	TRUE	9785.861250	39055	39.055000	13718	11.571691	0.000000	76.876396	9.003542	76.802414	9.978073
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	2627380e-ee26-4ee2-afbd-17e9c92b6425	4dd5f26403973742429ebeec317fec22caaed8da	0	3	3	2041.929750	5.365250	5365	TRUE	2042.020750	5274	5.274250	2103	11.604622	0.000000	77.742126	9.003542	76.895752	10.013409
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	2078cd2d-872a-46b6-9fd5-bd8b153468bd	4dd5f26403973742429ebeec317fec22caaed8da	0	389	1	7748.846750	34.241000	34241	TRUE	7748.863750	34224	34.224000	12249	12.022132	0.000000	74.279221	9.522977	77.322891	9.646488
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	2823b9f8-1510-4763-bc46-2e993b45016b	4dd5f26403973742429ebeec317fec22caaed8da	0	101	2	3398.694750	11.892500	11892	TRUE	3398.887750	11699	11.699500	4413	10.830106	0.000000	74.798660	8.310962	74.338966	10.453065
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1e808e83-b7e2-47f2-bd10-e7809c0e0da0	4dd5f26403973742429ebeec317fec22caaed8da	0	302	4	3110.983000	27.490500	27490	TRUE	3111.083000	27390	27.390500	9765	10.657808	0.000000	74.798660	8.484107	74.218224	9.476476
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	264e5a7f-d6cb-40c9-9351-a2219e2a8574	4dd5f26403973742429ebeec317fec22caaed8da	0	190	3	14900.694000	13.484000	13484	TRUE	14900.765000	13413	13.413000	5180	10.780254	0.000000	69.950600	9.522977	71.568680	9.692862
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1eb2744c-2207-49dc-9000-1d4896c4a1b1	4dd5f26403973742429ebeec317fec22caaed8da	0	181	2	16201.201750	14.422500	14422	TRUE	16201.311750	14312	14.312500	4837	10.854333	0.000000	68.392288	9.003542	77.762230	10.078080
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	1ee6ff50-e865-488f-8d99-484bebe57f07	4dd5f26403973742429ebeec317fec22caaed8da	0	42	1	20148.085500	8.516000	8516	TRUE	20148.280500	8321	8.321000	2886	10.817183	0.000000	69.777451	9.349833	70.485291	9.041772
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	267bd81e-991d-45ee-b379-02ca1488ae6a	4dd5f26403973742429ebeec317fec22caaed8da	0	216	1	9465.571750	22.952750	22952	TRUE	9465.644750	22879	22.879750	7652	11.573565	0.000000	72.894066	9.696122	74.575027	9.613633
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	20a29dfa-f15f-4b46-a721-64981d11b597	4dd5f26403973742429ebeec317fec22caaed8da	0	262	1	13078.839250	42.157750	42157	TRUE	13078.884250	42112	42.112750	14634	11.778366	0.000000	70.123741	9.176687	71.908226	9.719713
FAL06504_4dd5f26403973742429ebeec317fec22caaed8da_0.fast5	26e21e3c-b5e2-493f-a74a-6e1d85d2e210	4dd5f26403973742429ebeec317fec22caaed8da	0	125	1	4071.219750	5.250250	5250	TRUE	4071.219750	5250	5.250250	1961	9.698119	0.000000	72.201485	9.176687	71.580894	10.687291
