sample/otus	otu1	otu10	otu22	otu41	otu125	otu86	otu164	otu75	otu146	otu27	otu24	otu2	otu29	otu79	otu25	otu87	otu3	otu93	otu44	otu62	otu26	otu85	otu46	otu23	otu95	otu76	otu28	otu123	otu4	otu12	otu105	otu43	otu58	otu126	otu127	otu11	otu115	otu47	otu131	otu81	otu189	otu160	otu48	otu30	otu114	otu42	otu187	otu133	otu31	otu88	otu101	otu169	otu45	otu90	otu5	otu6	otu33	otu78	otu8	otu89	otu66	otu192	otu109	otu67	otu60	otu162	otu163	otu94	otu188	otu77	otu96	otu110	otu63	otu112	otu134	otu51	otu59	otu100	otu37	otu82	otu97	otu167	otu198	otu132	otu165	otu168	otu32	otu55	otu99	otu106	otu116	otu137	otu154	otu171	otu193	otu203	otu52	otu54	otu74	otu102	otu130	otu159	otu197	otu199	otu7	otu9	otu20	otu34	otu40	otu49	otu50	otu53	otu61	otu68	otu70	otu72	otu73	otu80	otu107	otu108	otu111	otu147	otu151	otu152	otu157	otu158	otu161	otu166	otu170	otu172	otu183	otu186	otu200
sample1	44	1095	282	218	6	0	6	21	0	16	59	0	5	0	11	243	0	28	0	0	3	0	0	10	0	0	4	10	0	57	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	4	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample2	662	2	58	35	0	7	54	120	0	3	4	69	1	0	55	0	118	2	15	3	21	12	7	1	2	0	2	3	35	0	1	36	5	0	0	0	0	10	3	12	0	0	0	5	3	0	1	0	0	0	0	0	0	0	0	4	0	4	7	5	0	4	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	4	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample3	7	1003	31	71	1	0	66	41	0	97	2	0	44	316	49	0	0	86	14	5	8	6	0	1	2	0	3	82	1	0	165	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample4	97	200	40	42	0	1	62	30	0	10	3	33	0	93	16	0	11	2	118	8	23	0	31	0	0	0	6	1	14	0	1	42	30	0	0	30	0	18	0	1	0	0	17	1	0	0	0	0	0	0	0	13	0	0	1	3	1	2	0	0	6	5	0	0	4	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample5	104	226	17	21	1	5	155	19	0	4	1	41	0	38	11	0	19	3	62	1	2	0	107	0	0	0	1	0	29	1	1	16	0	0	0	40	0	6	0	0	0	0	18	3	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	4	6	4	3	3	0	0	0	0	0	1	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
sample6	58	50	21	43	0	1	202	26	0	5	4	23	2	71	23	2	4	3	123	4	8	0	71	3	0	0	10	0	4	2	0	16	14	0	0	8	0	22	0	1	1	0	24	3	0	1	0	0	0	0	0	12	0	0	0	1	1	0	0	0	3	8	2	3	3	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample7	92	0	123	0	0	42	27	0	1797	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	53	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample8	66	913	72	143	1	236	19	26	0	15	27	15	3	330	41	0	5	1	28	7	24	4	18	3	2	0	5	10	20	0	0	0	11	8	0	9	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
sample9	59	1109	73	114	1	200	15	30	0	13	19	3	0	56	20	0	2	2	43	0	9	5	14	0	26	0	8	5	0	0	2	1	0	18	0	3	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample10	480	2	48	100	9	281	0	53	0	4	12	0	56	0	112	705	16	0	7	131	0	0	0	3	58	3	13	1	0	1	1	8	18	0	1	0	1	0	1	0	0	0	0	2	5	3	0	0	5	2	0	0	5	0	0	2	0	0	0	0	0	0	6	0	0	1	14	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
sample11	947	0	915	76	7	54	5	10	0	5	24	3	10	0	13	0	9	1	25	0	0	0	1	26	0	0	3	2	0	0	0	3	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample12	532	0	167	83	29	14	156	52	0	7	141	15	8	0	52	0	65	0	0	368	126	6	0	18	2	0	41	2	0	0	36	1	5	96	0	0	17	3	0	0	5	0	0	1	0	12	1	0	2	0	0	0	5	0	0	0	0	0	1	0	0	0	4	0	0	1	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
sample13	192	1	463	478	0	34	9	1	0	17	390	0	35	0	69	0	49	0	43	40	3	0	4	18	0	1	27	0	11	0	0	4	7	0	0	0	0	0	0	0	0	0	0	1	49	9	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample14	825	0	117	588	7	1	0	82	0	21	0	1	0	0	0	0	34	39	0	26	50	6	3	60	5	3	34	0	0	0	0	0	0	0	2	0	8	4	0	0	0	0	0	26	0	0	1	84	1	5	0	0	3	0	0	0	0	19	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample15	458	316	31	177	61	99	29	111	0	3	53	119	26	0	8	0	28	139	79	2	22	2	17	0	13	0	4	15	28	0	1	9	0	0	3	0	1	7	56	0	0	0	0	0	0	2	0	0	1	4	2	0	0	0	4	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample16	93	0	193	254	2	16	71	118	0	204	29	3	463	34	16	0	6	6	47	23	31	7	1	0	46	1	10	36	1	0	1	20	4	0	0	1	1	19	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0
sample17	1001	1	124	321	243	14	141	11	0	9	139	0	9	0	3	0	7	0	19	0	0	0	1	18	2	0	3	1	0	0	0	0	19	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample18	996	0	76	130	4	15	18	3	0	50	211	22	20	0	27	2	7	5	1	0	26	0	9	1	2	0	1	2	3	84	0	5	0	0	0	6	2	1	0	0	1	0	0	0	1	0	1	0	2	10	0	0	0	37	4	0	0	0	1	12	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample19	109	505	97	2	4	541	118	4	0	12	3	3	61	0	202	164	143	0	0	0	1	0	5	0	0	0	7	0	16	98	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
sample20	957	0	698	12	3	0	0	5	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	106	0	387	0	1	0	0	0	0	1	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample21	1316	0	48	295	128	64	3	9	0	15	0	9	1	3	14	0	21	119	8	0	12	0	11	18	0	0	0	1	5	0	0	7	2	1	0	3	17	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample22	1423	3	67	1	72	131	0	1	0	48	179	0	9	0	0	0	0	0	69	1	0	40	0	19	2	0	29	3	0	0	0	0	1	1	0	0	0	0	0	0	32	0	0	4	0	1	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample23	1600	0	31	147	201	21	0	5	0	6	0	8	1	1	4	0	13	31	1	0	6	1	3	15	0	0	0	2	2	0	1	1	6	0	0	2	16	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample24	932	0	11	33	173	0	8	142	0	710	2	0	3	107	15	0	22	5	0	1	0	12	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
