Alpha_diversity	richness	chao1	ACE	shannon	simpson	invsimpson
A1	5860	8026.450577	8280.671795	7.555690133	0.997957542	489.6062043
A2	5652	7873.22335	8251.489388	7.421999625	0.997363758	379.3278143
A3	5821	8192.037657	8578.98252	7.545507127	0.998044802	511.4572098
B1	5460	7695.008913	8100.156485	7.458528439	0.998286807	583.7052833
B2	5487	8031.747137	8290.499883	7.422284824	0.998074702	519.4001736
B3	6151	8031.957547	8275.676464	7.867572128	0.998959324	960.9142779
C1	6313	8377.896626	8764.061927	7.805230174	0.998844098	865.1250779
C2	6663	8695.865906	8923.469481	8.014308705	0.999196276	1244.207523
C3	6233	8333.446697	8706.925568	7.811733115	0.998879664	892.5897201
D1	6507	8586.326545	8959.324972	7.888420669	0.998927836	932.6927461
D2	6369	8363.532816	8734.846977	7.814053781	0.998800042	833.3626554
D3	6347	8463.764706	8772.297355	7.787885778	0.998614196	721.6025349
E1	6499	8512.424699	8723.992576	7.978965817	0.999094582	1104.462519
E2	6555	8804.512126	9168.488417	7.874202442	0.998738433	792.6652046
E3	6617	8806.430199	9126.122193	7.958187742	0.999076878	1083.280172
F1	6336	8343.365236	8838.753454	7.859213237	0.998996671	996.6821558
F2	6204	8356.878067	8726.254423	7.729498061	0.998634889	732.5411037
F3	6162	8104.242146	8400.591898	7.819216242	0.998874593	888.5676881
G1	6396	8372.681342	8775.557014	7.845815009	0.998857907	875.5851828
G2	6467	8735.52489	9026.4521	7.807118902	0.998678607	756.7769375
G3	6023	8002.179468	8396.469758	7.661286781	0.998468233	652.8409462
H1	6277	8349.007418	8670.199506	7.792211495	0.99865902	745.723277
H2	6246	8263.592727	8651.042734	7.739909605	0.99854138	685.5795204
H3	6083	8170.645785	8497.872095	7.695812206	0.998452344	646.1386039
