OTUID	KO	OE	WT	All
ASV_193	0.07038708	0.08856586	0.10678676	0.0885799006676669
ASV_176	0.12474884	0.05414046	0.08034174	0.0864103455232586
ASV_183	0.09076907	0.14821314	0.03316034	0.0907141867933295
ASV_178	0.08279800	0.09653110	0.08384071	0.0877232707271852
ASV_160	0.09340353	0.10200483	0.06691820	0.0874421845587511
ASV_175	0.17238772	0.02386454	0.05717662	0.0844762914662078
ASV_197	0.08764548	0.09748437	0.07173803	0.0856226274907164
ASV_185	0.12576262	0.05042162	0.07389141	0.0833585504816813
ASV_189	0.11007686	0.06810592	0.07360266	0.0839284798837024
ASV_237	0.09422941	0.06332007	0.09465625	0.0840685755675023
ASV_165	0.09273358	0.09964272	0.05932017	0.0838988229649649
ASV_187	0.13511515	0.04656453	0.06336082	0.0816801659171519
ASV_192	0.10429413	0.05825613	0.08111059	0.0812202839225945
ASV_184	0.11448956	0.05931746	0.06789292	0.0805666451241563
ASV_177	0.05537175	0.09247236	0.09713520	0.081659769302511
ASV_200	0.05234131	0.04111825	0.14402422	0.0791612605763944
ASV_188	0.08805220	0.06678662	0.08041954	0.0784194540748963
ASV_217	0.03840640	0.14201776	0.06013122	0.0801851252550789
ASV_202	0.03710296	0.16019733	0.04441884	0.0805730455436735
ASV_209	0.07566488	0.06458594	0.09023956	0.0768301263711075
ASV_198	0.10675385	0.06394656	0.05903256	0.0765776580860285
ASV_224	0.08577288	0.07530853	0.07001771	0.0770330398973237
ASV_204	0.02589801	0.08146567	0.11947030	0.0756113246317925
ASV_207	0.09063770	0.06811505	0.06649560	0.0750827848789256
ASV_213	0.07072569	0.06501227	0.08842248	0.0747201491552425
ASV_1156	0.06547285	0.09090822	0.07067016	0.0756837450859841
ASV_248	0.07291169	0.09864331	0.05240591	0.0746536358321289
ASV_206	0.15108028	0.02881949	0.03168172	0.0705271607836786
ASV_226	0.06960697	0.09919432	0.05384881	0.0742167009406048
ASV_203	0.04220121	0.08042279	0.09619486	0.0729396181224037
ASV_246	0.04378615	0.15726635	0.02824434	0.0764322794007392
ASV_199	0.06344755	0.07547775	0.07931683	0.072747373668576
ASV_211	0.11037186	0.04769804	0.05494420	0.0710047008390262
ASV_215	0.07699127	0.05588109	0.08053170	0.0711346874634185
ASV_219	0.07236009	0.07378083	0.06770628	0.0712824005926274
ASV_194	0.06710318	0.06870440	0.07659113	0.0707995708378914
ASV_201	0.14251242	0.02155756	0.04421817	0.0694293830237981
ASV_210	0.06270383	0.08616985	0.06637397	0.0717492150076225
ASV_240	0.05576688	0.08811304	0.07058814	0.0714893537811241
ASV_235	0.05423845	0.07308265	0.08501780	0.070779630645891
ASV_218	0.12085554	0.03178086	0.05357977	0.0687387241473946
ASV_227	0.05828237	0.07585331	0.07763492	0.0705901984763176
ASV_191	0.02395830	0.09187246	0.09517497	0.0703352459036901
ASV_212	0.07086637	0.06382396	0.07314922	0.0692798463913087
ASV_208	0.04087829	0.06738747	0.10008742	0.0694510611766156
ASV_238	0.08690182	0.05366434	0.06311206	0.0678927412903634
ASV_245	0.07154026	0.08055371	0.05469036	0.0689281129840889
ASV_216	0.06944660	0.08062555	0.05733051	0.0691342192756357
ASV_232	0.10515910	0.05458282	0.04129741	0.0670131088363366
ASV_328	0.09095183	0.05339281	0.05763002	0.0673248864214404
ASV_222	0.04620789	0.07348586	0.08207947	0.0672577441272277
ASV_225	0.07312414	0.04375767	0.07854087	0.0651408926977189
ASV_233	0.07628526	0.05945426	0.06211752	0.0659523463910284
ASV_243	0.04588669	0.05922286	0.09190221	0.0656705874479964
ASV_234	0.07261437	0.05684395	0.06557190	0.0650100721102877
ASV_274	0.10424481	0.03504837	0.05191761	0.06373692811825
ASV_221	0.08171128	0.05780900	0.05534462	0.0649549646358601
ASV_223	0.10301972	0.03129178	0.06066027	0.0649905889933013
ASV_231	0.04495787	0.09724135	0.05454245	0.065580559495307
ASV_214	0.05192266	0.08362991	0.06251468	0.0660224176451642
ASV_236	0.05648881	0.07859221	0.06021144	0.0650974844899019
ASV_220	0.08724495	0.04593991	0.05712048	0.0634351137701923
ASV_205	0.05534571	0.06351372	0.07415112	0.0643368499489296
ASV_229	0.04381446	0.06079781	0.08668234	0.0637648686791537
ASV_244	0.09304183	0.06573326	0.03092953	0.06323487358981
ASV_279	0.05940653	0.06591521	0.06459804	0.0633065935180988
