OTUID	Mean	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_1	4.104	3.3508	5.4484	2.0956	3.601	2.726	2.943	3.9175	4.9382	3.952	2.9214	3.7447	3.1758	6.2717	6.6142	4.711	5.4307	3.84	4.1907
ASV_2	3.8206	5.7864	3.3969	6.0481	5.8214	7.4054	4.9195	1.9742	1.4902	3.5187	3.8386	2.8378	1.9829	3.4234	3.8909	2.2953	3.0216	3.9734	3.147
ASV_3	2.5544	1.71	1.2735	2.3088	2.3674	3.147	2.3149	1.8724	1.3786	3.0565	3.1462	2.5135	2.1047	2.7842	4.6805	2.7877	3.2519	3.2156	2.0657
ASV_4	2.1439	4.3142	1.1074	1.374	1.9921	3.3036	1.37	1.5886	1.7798	1.2682	1.8859	1.985	1.3365	3.0035	3.7736	1.4965	1.5636	2.9674	2.48
ASV_8	1.6852	1.5294	1.3953	1.5615	1.1128	0.4877	0.8853	1.0333	1.6139	4.5587	2.3687	1.5225	1.6113	1.6956	1.9884	1.5129	2.8536	1.2195	1.3825
ASV_6	1.6498	2.6553	1.8632	2.1033	2.3306	3.7861	2.7535	0.7557	0.7541	1.0573	1.154	1.1351	1.0961	1.4897	1.3995	1.2584	1.4607	1.3209	1.3234
ASV_7	1.6109	0.6503	0.3654	3.164	0.9632	3.3318	0.7879	0.401	3.644	2.4094	1.5427	0.5856	0.687	2.1369	2.395	1.4965	0.5826	1.5477	2.3051
ASV_9	1.3253	1.0356	2.2175	0.9091	1.1653	0.6931	1.4918	0.9038	1.3333	1.8402	1.1904	1.6577	1.2429	1.5726	0.847	1.201	1.1653	2.0121	1.3772
ASV_10	1.1733	1.0838	1.005	1.7695	1.9947	2.6259	1.7923	0.6108	0.5339	0.8118	0.8503	1.2132	0.8712	0.8853	1.5298	0.6785	0.71	1.3983	0.7558
ASV_11	1.0611	0.9483	0.9524	0.8244	0.9239	1.4374	1.0153	1.4559	1.1312	0.7049	1.2694	1.036	0.5808	1.126	1.2978	1.3816	1.1165	0.8673	1.0302
ASV_13	1.0223	0.5088	0.5011	0.9733	0.9475	1.3733	1.0424	0.5306	1.5475	1.3809	0.9019	1.4865	0.5871	1.0217	0.7505	1.1545	0.7615	1.5424	1.3906
ASV_15	0.967	0.9694	1.1655	1.1326	0.8845	0.9446	1.0234	1.1413	0.9231	0.8089	0.7653	1.2132	1.1461	0.7863	0.7089	0.8508	0.9918	0.9633	0.9871
ASV_12	0.9574	0.0963	0.3267	1.5846	0.8267	0.4928	0.5767	0.6077	2.2293	1.9616	1.4273	1.1201	0.381	0.7703	0.7766	0.6538	0.5528	1.2595	1.5896
ASV_14	0.9548	0.9032	0.8748	0.904	0.9606	1.1577	0.9666	0.7526	0.546	0.8753	0.9111	1.048	0.7807	0.9414	1.4333	1.1353	1.2764	0.8459	0.8742
ASV_16	0.8863	0.6954	0.6866	1.338	0.7086	0.3645	0.5821	0.4935	0.721	1.7276	0.8594	0.6817	0.559	1.1393	0.7505	0.6648	0.8509	2.1855	0.9441
ASV_17	0.8238	1.3126	0.8278	0.8758	1.1181	1.1217	1.5812	0.3979	0.3288	0.5662	0.6863	0.6907	0.5777	0.8986	0.8079	0.7578	0.832	0.7205	0.7262
ASV_18	0.7894	0.6924	0.897	0.4854	0.6981	0.4466	0.6011	0.7002	0.549	0.6038	1.069	0.8408	0.6089	1.1955	1.2952	0.6128	0.7805	1.3503	0.7827
ASV_28	0.7265	0.7617	0.8388	0.1387	1.1522	0.3388	0.4928	0.475	0.7934	0.442	0.7805	0.7267	0.5559	1.0457	1.1727	0.6429	0.8699	1.1982	0.6509
ASV_19	0.6882	0.6262	1.9905	0.3159	0.4593	0.3517	0.7039	0.5768	0.6848	0.2976	0.4889	1.1862	0.687	0.912	0.3023	1.6114	0.3198	0.4723	0.4008
ASV_20	0.6691	0.569	1.2043	0.2209	0.6824	0.4004	0.4332	0.2221	0.359	0.1416	0.5527	0.3453	0.3341	0.6713	0.7688	0.2927	0.3686	4.1682	0.3093
ASV_33	0.6034	0.6232	0.4983	0.3673	0.3832	0.2233	0.5063	0.8236	0.537	0.546	0.5466	0.7087	0.8182	0.5937	0.5473	0.9192	0.6856	0.6911	0.8419
ASV_25	0.5791	0.3492	0.371	2.9277	0.1549	0.0821	0.1868	0.7897	0.4434	0.2196	0.5466	0.5075	0.3747	0.3771	0.0756	0.7988	0.6612	0.5551	1.0033
ASV_21	0.5732	0.4365	1.0216	0.5085	0.3123	0.2593	0.379	0.5059	0.5882	0.4507	0.4677	0.5766	0.4934	0.5723	0.8261	0.5444	0.7886	0.998	0.5891
ASV_22	0.562	0.5901	0.5648	0.7987	0.6325	0.5827	0.5875	0.7958	0.4676	0.4247	0.5163	0.5526	0.6776	0.4145	0.4587	0.6347	0.4336	0.435	0.5487
ASV_26	0.5459	0.5058	0.5011	0.3108	1.0341	0.1591	0.0839	0.6755	0.8265	0.9013	0.2764	0.5586	0.3935	0.9976	0.2007	0.4623	0.2439	0.0267	1.6677
ASV_31	0.5412	0.5238	0.4651	0.4571	0.7165	0.1463	0.6877	0.5367	0.5852	0.6616	0.574	0.6577	0.4091	0.6499	0.4795	0.5827	0.4932	0.7232	0.3927
ASV_24	0.5376	0.5329	0.4402	1.2764	1.2966	0.8727	0.6985	0.3208	0.1931	0.4362	0.2946	0.3934	0.4934	0.2888	0.6046	0.3173	0.5908	0.3229	0.3039
ASV_23	0.5354	0.3673	1.2181	1.3072	0.2362	0.4903	0.7933	0.2283	0.2443	0.2051	0.4009	0.5105	0.2155	0.4252	0.602	0.342	1.336	0.4003	0.3147
ASV_27	0.5207	0.575	0.6893	0.5213	0.3123	0.3953	0.5496	0.7927	0.4827	0.4218	0.4282	0.5706	0.6558	0.452	0.4691	0.6347	0.5013	0.3149	0.6052
ASV_29	0.5121	0.3402	0.3101	0.8912	0.4987	0.9959	0.6552	0.327	0.537	0.2629	0.3675	0.5105	0.2092	0.4761	0.5994	0.3119	0.5013	0.8886	0.5353
ASV_30	0.4992	0.5208	0.3294	0.4392	0.5302	0.5211	0.7689	0.4103	0.3318	0.6211	0.8746	0.4204	0.3123	0.5055	0.5212	0.5499	0.4742	0.4029	0.4519
ASV_32	0.4844	0.5359	0.4208	0.375	0.3674	0.3003	0.4061	0.6663	0.4284	0.4276	0.4859	0.5375	0.6089	0.5135	0.5785	0.6621	0.4173	0.3709	0.616
ASV_34	0.4792	0.283	0.6257	0.2465	0.5302	0.0513	0.1895	0.5059	0.3741	0.4016	0.5527	0.5165	0.3092	0.7863	0.9434	0.6402	0.6179	0.6858	0.3658
ASV_35	0.4726	0.4426	0.4153	0.5599	0.517	0.4004	0.3628	0.3671	0.2594	0.494	0.4646	0.5225	0.4528	0.4734	0.5499	0.5663	0.5122	0.5284	0.6186
ASV_36	0.4678	0.5841	0.1827	0.2671	0.6483	0.5108	0.9828	0.1943	0.1116	0.8176	0.5527	0.2913	0.2873	0.666	0.86	0.3283	0.4146	0.4296	0.2905
ASV_43	0.4619	0.4365	0.3405	0.1053	0.147	0.1155	0.2735	1.6441	0.5882	0.8782	0.8746	0.4114	1.7175	0.1311	0.0469	0.2052	0.1301	0.0747	0.1937
ASV_37	0.4608	0.3914	0.2796	0.3441	0.1391	0.3645	0.3141	0.5737	0.3952	0.3409	0.4009	0.5315	0.5746	0.4039	0.5916	0.818	0.5501	0.6244	0.6563
ASV_52	0.4497	0.2679	0.6174	0.5522	0.2388	0.2336	0.3195	0.4164	0.4223	0.6182	0.3796	0.5405	0.3622	0.4333	0.6463	0.528	0.5366	0.4083	0.5729
ASV_47	0.4275	0.4877	0.4236	0.4803	0.5065	0.5467	0.6308	0.3732	0.2926	0.3813	0.3918	0.3874	0.356	0.329	0.3362	0.3556	0.5772	0.3923	0.4465
ASV_38	0.4221	0.3402	0.1578	0.2132	0.5617	0.3748	0.5686	0.1388	0.1026	0.6182	0.416	0.3003	0.4309	0.5857	1.6105	0.1915	0.336	0.4056	0.2448
ASV_41	0.4065	0.7015	0.4042	0.4186	0.8556	0.7572	1.0234	0.1697	0.1146	0.2513	0.1822	0.3003	0.2529	0.3022	0.3622	0.2107	0.3387	0.3816	0.2905
ASV_46	0.4042	0.3944	0.3378	0.2157	0.4462	0.1771	0.3141	0.5861	0.3288	0.468	0.4312	0.5586	0.3248	0.3477	0.5316	0.4733	0.4986	0.3656	0.4761
ASV_39	0.4037	0.5871	0.3765	0.5136	0.5617	0.9087	0.5686	0.2283	0.2353	0.2918	0.3644	0.2763	0.2529	0.2862	0.4378	0.2955	0.4173	0.3362	0.3282
ASV_42	0.4029	0.295	0.7724	0.6806	0.3307	0.4646	0.3222	0.2745	0.356	0.2918	0.3189	0.4715	0.3123	0.3985	0.5264	0.4104	0.4715	0.1494	0.4062
ASV_166	0.3954	0.3673	0.3378	0.5034	0.3123	0.5005	0.3655	0.3301	0.2896	0.4276	0.3158	0.3724	0.3497	0.3798	0.5342	0.4213	0.4688	0.4136	0.4277
ASV_45	0.372	0.3101	0.706	0.6061	0.2808	0.5134	0.2139	0.3146	0.2655	0.2918	0.1701	0.3153	0.306	0.4975	0.3544	0.3392	0.7371	0.2161	0.2582
ASV_40	0.3711	0.009	0.119	0.0154	0.1785	0.3619	0.0081	0.1296	0.8084	0.0202	0.3705	0.4805	0.3248	2.4579	0.159	0.0492	0.1219	0.6831	0.3819
ASV_48	0.3704	0.3101	0.1689	0.5111	0.3753	0.4415	0.2978	0.4411	0.4736	0.3958	0.3432	0.5255	0.637	0.1498	0.2059	0.2681	0.3469	0.4617	0.3147
ASV_44	0.3658	0.4757	0.2796	0.5855	0.5223	0.9574	0.4169	0.2375	0.1116	0.2831	0.2551	0.2613	0.1686	0.3771	0.5421	0.2572	0.1409	0.4563	0.2555
ASV_50	0.3641	0.3854	0.2132	0.3364	0.8609	0.6263	0.8556	0.0956	0.0905	0.3351	0.2308	0.1982	0.1499	0.5349	0.5004	0.2134	0.3387	0.2909	0.2986
ASV_49	0.3543	0.286	0.4983	0.4982	0.1312	0.1206	0.2653	0.3979	0.4042	0.2138	0.1397	0.2703	0.5184	0.4814	0.2033	0.3584	0.7805	0.3522	0.4573
ASV_53	0.3273	0.283	0.5011	0.4032	0.3202	0.1643	0.2491	0.3239	0.4827	0.3496	0.2581	0.3544	0.2467	0.2648	0.2606	0.3666	0.4065	0.2695	0.3873
ASV_51	0.3273	0.4817	0.3101	1.6745	0.021	0.1104	0.2166	0.1049	0.0965	1.0631	0.908	0.0811	0.0562	0.1417	0.1355	0.1997	0.0515	0.1548	0.0834
ASV_57	0.3196	0.2107	0.1467	0.262	0.0945	0.9035	0.2166	0.5861	0.3741	0.1964	0.2976	0.2252	0.1155	0.452	0.2293	0.3666	0.3116	0.1975	0.5675
ASV_54	0.3183	0.3583	0.7724	0.2748	0.2887	0.3902	0.4359	0.4935	0.4827	0.1444	0.2764	0.2432	0.3185	0.2514	0.0678	0.1888	0.1436	0.3709	0.2286
ASV_55	0.3154	0.1234	0.119	0.2517	0.2388	0.3106	0.1787	0.3362	0.2051	0.3178	0.413	0.3153	0.2623	0.329	0.6202	0.5307	0.4444	0.3709	0.3093
ASV_56	0.3059	0.4064	0.3294	0.3724	0.4514	0.5082	0.3763	0.2468	0.2594	0.1936	0.2976	0.3153	0.2186	0.2621	0.2372	0.2544	0.2331	0.2722	0.2717
ASV_59	0.3042	0.295	0.3654	0.3441	0.3517	0.3055	0.3276	0.2529	0.4223	0.2947	0.2035	0.4354	0.2061	0.2434	0.3232	0.2927	0.2656	0.3015	0.2448
ASV_62	0.2866	0.277	0.2187	0.4135	0.4147	0.5929	0.3872	0.1758	0.181	0.182	0.2187	0.2402	0.281	0.1471	0.3648	0.1505	0.2656	0.3816	0.2663
ASV_67	0.2776	0.0933	0.0914	0.1002	0.0892	0.1514	0.0866	0.3948	0.3801	0.2311	1.3089	0.2883	1.1304	0.0722	0.0417	0.0602	0.0921	0.2615	0.1237
ASV_60	0.2696	0.3583	0.2852	0.3441	0.3674	0.5673	0.3601	0.1727	0.1327	0.1964	0.2065	0.1652	0.1811	0.2327	0.258	0.2189	0.2249	0.2562	0.3255
ASV_61	0.2676	0.2258	0.2215	0.1618	0.1968	0.4851	0.2166	0.3671	0.2624	0.1993	0.3341	0.1922	0.1436	0.3102	0.3648	0.331	0.2547	0.1975	0.3524
