OTUID	Mean	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_65	0.2551	0.2138	0.2575	0.2055	0.2913	0.2156	0.287	0.2591	0.1961	0.1964	0.2095	0.6877	0.2092	0.2113	0.2684	0.2544	0.1789	0.1815	0.269
ASV_63	0.2531	0.3914	0.2962	0.3544	0.3333	0.4235	0.3926	0.1912	0.0995	0.1358	0.1883	0.2583	0.1842	0.2594	0.2345	0.1395	0.2249	0.1841	0.2636
ASV_77	0.2495	0.3011	0.1855	0.1695	0.1758	0.0821	0.1787	0.3732	0.2262	0.2398	0.2551	0.2793	0.3279	0.2113	0.2632	0.3912	0.2981	0.2135	0.3201
ASV_64	0.2446	0.1746	0.2602	0.3441	0.4383	0.3337	0.3466	0.1604	0.0995	0.1964	0.1974	0.2162	0.1312	0.1872	0.331	0.1942	0.2602	0.3949	0.1372
ASV_66	0.2421	0.2107	0.3073	0.1002	0.1312	0.1078	0.1327	0.4966	0.3318	0.2456	0.2733	0.2823	0.3654	0.2514	0.1876	0.3119	0.2114	0.1681	0.2421
ASV_69	0.2364	0.0542	0.0388	0.0103	3.1443	0.0077	0.0731	0.0802	0.0754	0.0347	0.1002	0.1051	0.0437	0.1952	0.0287	0.0137	0.0948	0.0213	0.1345
ASV_71	0.2343	0.1716	0.1716	0.357	0.2126	0.7341	0.1273	0.1234	0.2051	0.0462	0.2703	0.3003	0.1842	0.1658	0.1277	0.1587	0.2656	0.3869	0.2098
ASV_68	0.2338	0.2228	0.2492	0.2979	0.147	0.2028	0.2572	0.3763	0.2021	0.1993	0.2065	0.2583	0.1718	0.1498	0.2163	0.4733	0.1247	0.1761	0.277
ASV_72	0.2323	0.277	0.1412	0.1335	0.2047	0.077	0.2491	0.1604	0.1327	0.1791	0.1792	0.2643	0.2436	0.0936	0.331	0.2708	0.832	0.2428	0.1695
ASV_70	0.2295	0.283	0.119	0.1515	0.2546	0.1951	0.9828	0.1357	0.1086	0.2022	0.2035	0.1471	0.331	0.1444	0.1277	0.249	0.1626	0.1574	0.1748
ASV_73	0.2269	0.4275	0.2104	0.2953	0.6194	0.2926	0.5361	0.0895	0.0452	0.1473	0.1184	0.1622	0.1655	0.1524	0.1824	0.1313	0.168	0.1708	0.1695
ASV_74	0.2235	0.2288	0.2436	0.2286	0.2126	0.3003	0.2139	0.2714	0.2081	0.1618	0.1883	0.3243	0.2061	0.1899	0.2033	0.2216	0.1951	0.2295	0.1964
ASV_79	0.2223	0.3071	0.3239	0.262	0.2493	0.3465	0.4359	0.1419	0.1146	0.1473	0.1913	0.1892	0.2061	0.1471	0.1538	0.1696	0.252	0.1921	0.1721
ASV_81	0.2156	0.2107	0.072	0.2491	0.2651	0.2053	0.1922	0.0864	0.1086	0.3842	0.2429	0.1592	0.2061	0.1952	0.3205	0.2517	0.2629	0.2135	0.2555
ASV_76	0.2077	0.1566	0.1273	0.2748	0.168	0.1899	0.1706	0.1357	0.0845	0.182	0.1154	0.1802	0.2904	0.0936	0.4847	0.1149	0.7479	0.0907	0.1318
ASV_75	0.2075	0.1957	0.191	0.0848	0.1102	0.2875	0.1652	0.2283	0.1689	0.1618	0.1761	0.2673	0.2405	0.1712	0.1147	0.2243	0.4526	0.2882	0.2071
ASV_80	0.2061	0.28	0.0831	0.1027	0.1549	0.3209	0.1029	0.1296	0.2986	0.13	0.2946	0.6366	0.1686	0.1417	0.0599	0.2927	0.1572	0.2135	0.1426
ASV_90	0.2029	0.0723	0.0166	0.1053	0.1076	0.5057	0.0596	0.0956	0.9261	0.0376	0.1761	0.3514	0.1312	0.016	0.0521	0.2955	0.0081	0.4376	0.2582
ASV_86	0.1977	0.1867	0.2492	0.036	0.1102	0.0693	0.111	0.1758	0.3801	0.1011	0.0881	0.1502	0.1842	0.2568	0.3544	0.3009	0.1707	0.4536	0.1802
ASV_84	0.196	0.1264	0.2962	0.1053	0.0052	0.0231	0.9314	0.2776	0.0543	0.0838	0.4343	0.0811	0.0749	0.567	0	0.1012	0.168	0.0667	0.1318
ASV_78	0.1955	0.28	0.2049	0.1464	0.2178	0.1335	0.1841	0.1018	0.2112	0.0347	0.1063	0.3814	0.203	0.0187	0	0.2818	0.2547	0.3869	0.3712
ASV_87	0.1896	0.0993	0.191	0.2953	0.2415	0.3003	0.2166	0.1049	0.1931	0.1531	0.0911	0.4324	0.153	0.1685	0.1277	0.1778	0.1518	0.1708	0.1452
ASV_83	0.1885	0.3312	0.0914	0.1156	0.2362	0.2978	0.4413	0.0555	0.0573	0.2427	0.1063	0.0811	0.1686	0.1979	0.4065	0.093	0.1626	0.1895	0.1183
ASV_85	0.1862	0.1626	0.2907	0.131	0.2467	0.2053	0.555	0.1141	0.0724	0.2716	0.0911	0.1652	0.1405	0.1123	0.0808	0.1313	0.1003	0.3629	0.1183
ASV_91	0.1847	0.5479	0.2021	0.1772	0.3071	0	0.1273	0.2499	0.2805	0.3987	0.4039	0.2342	0.0812	0.0294	0.0391	0.0027	0.1843	0.0534	0.0054
ASV_95	0.1832	0.1656	0.1772	0.2286	0.1365	0.095	0.1354	0.0709	0.181	0.2109	0.1579	0.1231	0.1031	0.2888	0.2163	0.1915	0.1463	0.3576	0.312
ASV_89	0.1831	0.1656	0.1883	0.0976	0.0971	0.0821	0.1408	0.2684	0.184	0.1589	0.2369	0.2282	0.1999	0.115	0.2398	0.1888	0.2737	0.1921	0.2394
ASV_88	0.1823	0.28	0.4153	0.0154	0.0525	0.0051	1.2508	0.1511	0.1237	0.0982	0.2278	0.0871	0.2092	0.1417	0.0313	0.0356	0.1165	0	0.0403
ASV_93	0.1814	0.0211	0.0277	0.1952	0.1785	0.1617	0.0893	0.1018	0.2383	0.078	0.0698	0.2372	0.1593	0.1524	0.1121	0.093	0.1355	0.6111	0.6025
ASV_102	0.178	0.1295	0.1993	0.1258	0.1811	0.3286	0.1408	0.2067	0.1538	0.1416	0.1397	0.1742	0.1749	0.1551	0.1381	0.2517	0.2385	0.1441	0.1802
ASV_92	0.1753	0.0692	0.3018	0.0154	0.4173	0.0282	0.1868	0.2622	0.0875	0.1618	0.1458	0.2192	0.1187	0.1177	0.3284	0.1751	0.2629	0.1334	0.1237
ASV_101	0.1736	0.2469	0.2713	0.0308	0.0735	0.0821	0.1543	0.3177	0.1659	0.1791	0.1427	0.2222	0.3373	0.1605	0.0964	0.197	0.1084	0.1468	0.191
ASV_114	0.1717	0.1867	0.1523	0.2286	0.2388	0.2644	0.13	0.1203	0.1146	0.1242	0.1336	0.1592	0.128	0.1765	0.172	0.1888	0.1897	0.1628	0.2206
ASV_100	0.1694	0.2378	0.0498	0.0976	0.1549	0.7572	0.0677	0.0895	0.1659	0.0433	0.3462	0.2162	0.1249	0.0883	0.0182	0.1368	0.1626	0.1014	0.191
ASV_94	0.1677	0.1234	0.0498	0.0591	0.0787	0.9626	0.0623	0.219	0.2926	0.0896	0.0729	0.0931	0.0562	0.1364	0.0834	0.2626	0.1138	0.1308	0.1318
ASV_104	0.1674	0.1897	0.2049	0.2132	0.1995	0.2875	0.1976	0.0802	0.0905	0.1387	0.1488	0.1592	0.2186	0.1444	0.1746	0.1505	0.1274	0.1975	0.0915
ASV_96	0.1638	0.1746	0.1329	0.3467	0.2756	0.3337	0.2112	0.1141	0.0965	0.13	0.1275	0.1712	0.1093	0.0802	0.1355	0.0903	0.1382	0.1361	0.1452
ASV_110	0.163	0.0361	0.0997	0.1618	0.2782	0.3619	0.0596	0.2128	0.1207	0.0809	0.2035	0.1381	0.0781	0.1524	0.344	0.1888	0.168	0.1548	0.0941
ASV_97	0.1627	0.1927	0.0637	0.2388	0.084	0.4826	0.1814	0.1666	0.0633	0.1242	0.0972	0.1381	0.0874	0.1551	0.3075	0.0711	0.1138	0.1735	0.1883
ASV_106	0.1621	0.1566	0.0858	0.0539	0.0787	0.0488	0.0433	0.0679	0.1388	0.702	0.4312	0.1231	0.1624	0.222	0.0782	0.1532	0.2141	0.0614	0.0968
ASV_109	0.1593	0.1445	0.155	0.036	0.0551	0.0051	0.0054	0.1758	0.3077	0.1184	0.1336	0.0931	0.2311	0.4627	0.0599	0.2517	0.2818	0	0.3497
ASV_98	0.1586	0.1836	0.1273	0.1567	0.2152	0.231	0.3411	0.1326	0.0784	0.1473	0.0911	0.1532	0.1249	0.1364	0.1042	0.0766	0.0786	0.3549	0.121
ASV_99	0.1543	0.1355	0.0747	0.095	0.21	0.1078	0.2355	0.0771	0.0603	0.2716	0.2369	0.1351	0.0843	0.3156	0.258	0.0903	0.1572	0.1147	0.1183
ASV_113	0.153	0.0903	0.2658	0.1438	0.1758	0.1283	0.1354	0.1758	0.1719	0.1647	0.1701	0.1261	0.1718	0.123	0.1303	0.1888	0.1138	0.1174	0.1614
ASV_108	0.1506	0.1626	0.0747	0.1464	0.126	0.2156	0.1354	0.0802	0.1207	0.156	0.2885	0.2553	0.2186	0.0829	0.1225	0.1094	0.1382	0.1441	0.1345
ASV_103	0.1491	0.1535	0.1606	0.0334	0.2257	0.1643	0.4061	0.074	0.0935	0.1242	0.1093	0.1592	0.1249	0.2006	0.1355	0.145	0.1301	0.1494	0.0941
ASV_105	0.1479	0.1144	0.0498	0.1027	0.1627	0.8214	0.1516	0.0185	0.3831	0.0029	0.1245	0.0871	0.0656	0.0107	0.0261	0.0821	0.0677	0.1361	0.2555
ASV_115	0.1478	0.1054	0.2852	0.0334	0.2572	0.0205	0.1868	0.0154	0.0362	0.0029	0.0152	0.0691	1.4396	0.0027	0.0547	0.0602	0.0054	0.0107	0.0592
ASV_107	0.1464	0.1957	0.1578	0.1567	0.1837	0.1463	0.222	0.1542	0.0965	0.1213	0.1033	0.1652	0.1749	0.0936	0.0912	0.1751	0.1518	0.1254	0.121
ASV_111	0.1456	0.1204	0.1495	0.0925	0.0446	0.095	0.0758	0.1727	0.1207	0.1184	0.1974	0.1532	0.1842	0.099	0.2189	0.2024	0.1924	0.1681	0.2152
ASV_122	0.1442	0.1295	0.2187	0.0976	0.1155	0.0488	0.1327	0.1943	0.2051	0.1964	0.1488	0.1201	0.1874	0.1498	0.1016	0.1423	0.1382	0.1121	0.156
ASV_112	0.1439	0.0843	0.0443	0.036	0.042	0.0257	0.0298	0.2252	0.1297	0.3004	0.3098	0.1862	0.1031	0.1819	0.2554	0.1942	0.2331	0.1121	0.0968
ASV_117	0.1419	0.1445	0.0831	0.1464	0.0604	0.0898	0.1489	0.0709	0.2232	0.4536	0.2612	0.1742	0.0625	0.1311	0.1173	0.1477	0.1545	0.0294	0.0565
ASV_119	0.1397	0.1234	0.0803	0.1669	0.0761	0.0334	0.065	0.219	0.1629	0.1473	0.1124	0.1802	0.1374	0.1043	0.2111	0.1641	0.2168	0.1841	0.1291
ASV_126	0.1362	0.1385	0.1273	0.1258	0.1076	0.0744	0.111	0.1265	0.2293	0.1444	0.1275	0.1051	0.1811	0.1177	0.0469	0.197	0.1274	0.1441	0.2206
ASV_125	0.1358	0.0361	0.3239	0.1438	0.2283	0.0334	0.0704	0.1388	0.2293	0.0924	0.1427	0.2192	0.0562	0.0722	0.2241	0.1614	0.0705	0.0187	0.1829
ASV_116	0.1338	0.0211	0.0914	0.0205	0.021	1.3707	0.0325	0.0524	0.0573	0.0289	0.0577	0.0541	0.0344	0.1578	0.0521	0.0711	0.0108	0.2242	0.0511
ASV_134	0.1329	0.1355	0.1578	0.1669	0.1916	0.1463	0.1624	0.0895	0.0664	0.1329	0.1124	0.1321	0.1343	0.1016	0.1042	0.0903	0.1436	0.2028	0.121
ASV_118	0.1319	0.1475	0.1246	0.1002	0.1102	0.1104	0.2843	0.1203	0.0694	0.1011	0.2338	0.1051	0.2248	0.0749	0.1251	0.1012	0.0921	0.2001	0.0484
ASV_120	0.1291	0.1385	0.2242	0.2697	0.2047	0.1489	0.2328	0.0679	0.0784	0.104	0.0759	0.0841	0.1031	0.0695	0.0756	0.1368	0.1463	0.0961	0.0672
ASV_129	0.1261	0.0632	0.0747	0.262	0.1575	0.1617	0.13	0.0833	0.1327	0.078	0.1002	0.1682	0.0968	0.0615	0.0964	0.1012	0.0976	0.2028	0.2017
ASV_135	0.1235	0.0632	0.1966	0.0616	0.1207	0.0128	0.1868	0.1203	0.2021	0.0982	0.1549	0.1321	0.1249	0.214	0.0912	0.1176	0.0705	0.0961	0.1587
ASV_121	0.1231	0.1445	0.0969	0.113	0.0787	0.0308	0.1191	0.2098	0.1267	0.1271	0.1458	0.1652	0.2311	0.0963	0.0912	0.1176	0.0569	0.1334	0.1318
ASV_123	0.123	0.1746	0.1689	0.1027	0.1444	0.1566	0.157	0.1018	0.0513	0.1156	0.085	0.1321	0.1249	0.1043	0.1199	0.1395	0.1057	0.1281	0.1022
ASV_137	0.1224	0.1475	0.1495	0.208	0.1732	0.1437	0.13	0.111	0.0965	0.1098	0.0607	0.1081	0.0812	0.1043	0.0964	0.1204	0.1328	0.1334	0.0968
ASV_127	0.1217	0.1114	0.18	0.0873	0.1549	0.1258	0.1381	0.0956	0.0814	0.0664	0.1275	0.1351	0.0906	0.1016	0.1433	0.1176	0.187	0.1441	0.1022
ASV_124	0.1215	0.1535	0.0831	0.3236	0.0761	0.0385	0.0704	0.145	0.0483	0.0751	0.0972	0.1652	0.0999	0.1123	0.1199	0.1641	0.149	0.0881	0.1775
ASV_133	0.1202	0.1596	0.1301	0.0976	0.1942	0.0975	0.1462	0.0956	0.0694	0.1329	0.1093	0.1081	0.1624	0.1284	0.1016	0.1395	0.084	0.1014	0.1049
ASV_156	0.1168	0.1505	0.1993	0.1721	0.0761	0.1489	0.2085	0.1758	0.0724	0.0693	0.0911	0.1261	0.1343	0.0508	0.0678	0.0875	0.084	0.0907	0.0968
ASV_128	0.1168	0.1174	0.1052	0.0899	0.0761	0.0411	0.1029	0.1851	0.1056	0.1184	0.1093	0.1261	0.1655	0.1016	0.1329	0.1614	0.1111	0.1094	0.1426
ASV_136	0.1158	0.0963	0.0692	0.0514	0.0945	0.2028	0.0839	0.1141	0.0905	0.1213	0.164	0.1141	0.0999	0.0695	0.099	0.1724	0.2358	0.1254	0.0807
ASV_142	0.1155	0.1234	0.1329	0.0976	0.0787	0.0359	0.1191	0.2128	0.0935	0.1213	0.1275	0.1441	0.1124	0.0562	0.0886	0.1559	0.0705	0.0934	0.2152
ASV_138	0.112	0.1144	0.1218	0.1644	0.0735	0.059	0.111	0.0771	0.0995	0.1849	0.1002	0.0781	0.0531	0.1765	0.0938	0.0985	0.0894	0.1574	0.1641
ASV_130	0.1112	0.0813	0.2021	0.0385	0.1444	0.0205	0.333	0.074	0.0211	0.0607	0.1427	0.0541	0.0656	0.0267	0.0547	0.2517	0.0515	0.04	0.3389
ASV_132	0.1109	0.0181	0.0637	0.5727	0.1811	0.0616	0.1435	0.1635	0.0724	0.1127	0.0638	0.045	0.0094	0.0722	0.1147	0.093	0.0379	0.0614	0.1103
ASV_154	0.1106	0.0933	0.2353	0.0462	0.1312	0.095	0.1002	0.0895	0.1267	0.0693	0.1124	0.0901	0.153	0.1631	0.1173	0.0821	0.168	0.0374	0.0807
ASV_141	0.1102	0.2559	0.1578	0.1926	0.2047	0.1925	0.2193	0.0154	0.0573	0.0462	0.1002	0.0511	0.0312	0.0909	0.1147	0.0602	0.0542	0.0667	0.0726
