"","x","y","r","circular","leaf","depth","name","level","shortName","new_label","KO1","KO2","KO3","KO4","KO5","KO6","OE1","OE2","OE3","OE4","OE5","OE6","WT1","WT2","WT3","WT4","WT5","WT6","mean","Kingdom","Phylum","Class","Order","Family","Genus","Species","mean_KO","mean_OE","mean_WT","KOWT_logFC","KOWT_logCPM","KOWT_PValue","KOWT_FDR","KOWT_level","KOWT_Kingdom","KOWT_Phylum","KOWT_Class","KOWT_Order","KOWT_Family","KOWT_Genus","KOWT_Species","KOWT_MeanA","KOWT_MeanB","KOWT_KO1","KOWT_KO2","KOWT_KO3","KOWT_KO4","KOWT_KO5","KOWT_KO6","KOWT_WT1","KOWT_WT2","KOWT_WT3","KOWT_WT4","KOWT_WT5","KOWT_WT6","ggraph.orig_index","ggraph.index"
"D_--Bacteria--P_--Proteobacteria--C_--Alphaproteobacteria",-0.465242341107173,-0.396741663302782,0.345827886704237,FALSE,FALSE,2,"D_--Bacteria--P_--Proteobacteria--C_--Alphaproteobacteria",3,"Alphaproteobacteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,11
"D_--Bacteria--P_--Proteobacteria--C_--Betaproteobacteria",-0.879063599814608,0.258479321339991,0.429131814464393,FALSE,FALSE,2,"D_--Bacteria--P_--Proteobacteria--C_--Betaproteobacteria",3,"Betaproteobacteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,12
"D_--Bacteria--P_--Proteobacteria--C_--Deltaproteobacteria",-0.891583704002814,-0.269577950957539,0.099073873047455,FALSE,FALSE,2,"D_--Bacteria--P_--Proteobacteria--C_--Deltaproteobacteria",3,"Deltaproteobacteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,13
"D_--Bacteria--P_--Proteobacteria--C_--Gammaproteobacteria",-0.0519154367339816,0.222629741474074,0.398792893633651,FALSE,FALSE,2,"D_--Bacteria--P_--Proteobacteria--C_--Gammaproteobacteria",3,"Gammaproteobacteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,14
"D_--Bacteria--P_--Proteobacteria--C_--Unassigned",-1.08393123959232,-0.22711099650858,0.0979058756407641,FALSE,FALSE,2,"D_--Bacteria--P_--Proteobacteria--C_--Unassigned",3,"Unassigned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,15
"D_--Bacteria--P_--Actinobacteria--C_--Actinobacteria--O_--Actinomycetales",0.829873579825984,-0.1811417741451,0.498750474494608,FALSE,FALSE,3,"D_--Bacteria--P_--Actinobacteria--C_--Actinobacteria--O_--Actinomycetales",4,"Actinomycetales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,16
"D_--Bacteria--P_--Bacteroidetes--C_--Flavobacteriia--O_--Flavobacteriales",0.286284664219505,-0.482551414349834,0.122809395194054,FALSE,FALSE,3,"D_--Bacteria--P_--Bacteroidetes--C_--Flavobacteriia--O_--Flavobacteriales",4,"Flavobacteriales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,17
"D_--Bacteria--P_--Chloroflexi--C_--Chloroflexia--O_--Herpetosiphonales",0.124185162872871,-0.566357243544238,0.0596725540235639,FALSE,FALSE,3,"D_--Bacteria--P_--Chloroflexi--C_--Chloroflexia--O_--Herpetosiphonales",4,"Herpetosiphonales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,18
"D_--Bacteria--P_--Firmicutes--C_--Bacilli--O_--Bacillales",0.291001611975044,-0.321222692888168,0.0385882593691349,FALSE,FALSE,3,"D_--Bacteria--P_--Firmicutes--C_--Bacilli--O_--Bacillales",4,"Bacillales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,19
"D_--Bacteria--P_--Proteobacteria--C_--Alphaproteobacteria--O_--Caulobacterales",-0.558334114142523,-0.185434559314545,0.0347715392708778,FALSE,FALSE,3,"D_--Bacteria--P_--Proteobacteria--C_--Alphaproteobacteria--O_--Caulobacterales",4,"Caulobacterales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,20
