Phylum	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
"Proteobacteria"	61.8	46.1	57.8	59.5	71.2	64	50.5	42.7	47.1	52.2	52.9	50.4	46.6	55.8	50.8	51.9	52	53.1	42.7
"Actinobacteria"	25.3	39.7	27.6	27.7	17	23	26.5	32.4	31.7	26.6	28	26.8	32.9	28	30.4	32.8	31.6	30.3	24.8
(Unassigned)	6.74	7.21	3.95	5.18	3.82	7.03	7.54	7.22	5.69	7.05	5.55	6.7	6.39	4.53	6.89	5.39	4.66	5.81	14.8
Firmicutes	1.66	2.05	1.53	3.26	0.763	1.74	4.97	2.66	2.45	3.31	1.78	4.7	0.898	0.477	1.12	1.05	0.621	1.21	5.2
"Bacteroidetes"	2.9	2.59	7.55	3.01	5.19	2.36	3.46	7.59	8.47	7.36	3.46	3.07	5.13	5.89	4.66	4.04	4.43	5.82	4.8
"Acidobacteria"	0.371	0.348	0.249	0.213	0.186	0.356	1.02	0.524	0.667	0.377	0.707	1.07	0.527	0.331	1.03	0.539	0.219	0.356	2.0
"Verrucomicrobia"	0.199	0.222	0.156	0.11	0.106	0.203	0.531	0.331	0.408	0.328	0.453	0.679	0.341	0.341	0.53	0.313	0.226	0.266	1.5
"Planctomycetes"	0.0397	0.258	0.159	0.0299	0.0597	0.0833	0.464	0.872	0.415	0.202	0.317	0.612	0.242	0.175	0.33	0.216	0.139	0.173	1.2
"Chloroflexi"	0.656	0.858	0.295	0.681	0.822	0.396	0.461	1.37	0.382	0.93	1.17	0.847	2.83	0.401	0.673	0.668	1.38	1.19	0.9
Nitrospirae	0.0927	0.0894	0.0332	0.0565	0.0431	0.0666	0.143	0.0696	0.11	0.0828	0.122	0.106	0.0696	0.0629	0.0899	0.306	0.083	0.117	0.4
Cyanobacteria/Chloroplast	0.142	0.397	0.518	0.116	0.481	0.596	4.12	3.78	2.37	1.2	5.19	4.83	3.82	3.68	3.01	2.5	4.43	1.33	0.4
"Spirochaetes"	0.0762	0.0464	0.113	0.0931	0.149	0.0733	0.129	0.113	0.159	0.209	0.152	0.136	0.116	0.209	0.223	0.21	0.073	0.173	0.4
Candidatus_Saccharibacteria	0.0166	0.0497	0.0266	0.0299	0.119	0.02	0.0431	0.113	0.0498	0.0464	0.0628	0.0364	0.0331	0.00331	0.05	0.02	0.0133	0.0533	0.3
"Chlamydiae"	0.0397	0.0232	0.0398	0.0133	0.00995	0.03	0.073	0.0994	0.0564	0.0662	0.0298	0.0397	0.0265	0.043	0.137	0.0599	0.00995	0.0966	0.3
"Armatimonadetes"	0.0132	0.0166	0.0166	0.0133	0.0133	0.0133	0.0464	0.0497	0.0431	0.0397	0.0198	0.0331	0.0398	0.0298	0.0366	0.0366	0.0365	0.03	0.1
Latescibacteria	0.00331	0	0	0.00665	0	0.00333	0.00332	0.00331	0.00332	0	0.0132	0.00662	0.00663	0.00331	0.00666	0	0.00332	0.00333	0.0
"Tenericutes"	0.00331	0.00993	0.00332	0.00665	0.00995	0.00333	0.00332	0.00331	0.00664	0.00993	0.00331	0.00331	0.00663	0.00662	0.00333	0.00333	0.00664	0	0.0
"Thaumarchaeota"	0.00331	0.00993	0	0	0	0	0.00995	0.00994	0.00332	0	0.00331	0.0166	0.00663	0	0.00666	0.00665	0.00664	0.00666	0.0
