Journal name	ISSN	eISSN	Category	Total Citations	2020 JIF	JIF Quartile	2020 JCI	% of OA Gold	Citable Items	Total Articles	Country / region
NATURE REVIEWS MICROBIOLOGY	1740-1526	1740-1534	MICROBIOLOGY - SCIE	43,313	60.633	Q1	5.03	3.95%	68	1	England
CLINICAL MICROBIOLOGY REVIEWS	0893-8512	1098-6618	MICROBIOLOGY - SCIE	25,627	26.132	Q1	2.54	0.99%	33	0	USA
Cell Host & Microbe	1931-3128	1934-6069	MICROBIOLOGY - SCIE	28,716	21.023	Q1	4.57	11.25%	143	123	USA
Nature Microbiology	2058-5276	2058-5276	MICROBIOLOGY - SCIE	15,714	17.745	Q1	4.36	5.05%	158	152	England
TRENDS IN MICROBIOLOGY	0966-842X	1878-4380	MICROBIOLOGY - SCIE	17,553	17.079	Q1	1.63	17.98%	76	0	USA
FEMS MICROBIOLOGY REVIEWS	0168-6445	1574-6976	MICROBIOLOGY - SCIE	16,279	16.408	Q1	1.77	41.80%	46	0	England
Annual Review of Microbiology	0066-4227	1545-3251	MICROBIOLOGY - SCIE	12,031	15.5	Q1	1.37	0%	39	0	USA
Microbiome	2049-2618	2049-2618	MICROBIOLOGY - SCIE	12,051	14.65	Q1	3.14	100%	156	155	England
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS	1092-2172	1098-5557	MICROBIOLOGY - SCIE	15,205	11.056	Q1	1.32	3.23%	26	0	USA
ISME Journal	1751-7362	1751-7370	MICROBIOLOGY - SCIE	33,484	10.302	Q1	2.82	49.41%	343	340	England
Gut Microbes	1949-0976	1949-0984	MICROBIOLOGY - SCIE	6,085	10.245	Q1	2.01	54.57%	222	186	USA
CLINICAL INFECTIOUS DISEASES	1058-4838	1537-6591	MICROBIOLOGY - SCIE	89,276	9.079	Q1	2.13	28.77%	842	796	USA
CLINICAL MICROBIOLOGY AND INFECTION	1198-743X	1469-0691	MICROBIOLOGY - SCIE	24,871	8.067	Q1	1.61	13.48%	271	190	England
