"","kindom","phylum","class","order","family","genus","species"
"OTU_2","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__","f__","","s__"
"OTU_43392","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Fusarium","s__Fusarium redolens"
"OTU_3","k__Fungi","p__Zygomycota","c__Incertae_sedis_Zygomycota","o__Mortierellales","f__Mortierellaceae","","s__"
"OTU_31104","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","","s__"
"OTU_42322","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Gibberella","s__Gibberella intricans"
"OTU_6","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","Guehomyces","s__Guehomyces pullulans"
"OTU_7","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__","","s__"
"OTU_8","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Fusarium","s__Fusarium solani"
"OTU_1","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Fusarium","s__Fusarium oxysporum"
"OTU_401","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","","s__"
"OTU_9","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Fusarium","s__Fusarium solani"
"OTU_11","k__Fungi","p__Zygomycota","c__Incertae_sedis_Zygomycota","o__Mortierellales","f__Mortierellaceae","Mortierella","s__Mortierella alpina"
"OTU_20","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","Trichoderma","s__Trichoderma hamatum"
"OTU_167","k__Fungi","p__Zygomycota","c__Incertae_sedis_Zygomycota","o__","f__","","s__"
"OTU_13","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__","f__","","s__"
"OTU_21","k__Fungi","p__Zygomycota","c__Incertae_sedis_Zygomycota","o__Mucorales","f__Rhizopodaceae","Rhizopus","s__Rhizopus arrhizus"
"OTU_18","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","Chaetomium","s__Chaetomium piluliferum"
"OTU_12","k__Fungi","p__Ascomycota","c__Incertae_sedis_Ascomycota","o__Incertae_sedis_Ascomycota","f__Pseudeurotiaceae","Pseudeurotium","s__Pseudeurotium bakeri"
"OTU_4","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Gibberella","s__Gibberella intricans"
"OTU_14","k__Fungi","p__Chytridiomycota","c__","o__","f__","","s__"
"OTU_15","k__Fungi","p__Zygomycota","c__Incertae_sedis_Zygomycota","o__Mortierellales","f__Mortierellaceae","","s__"
"OTU_10","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__","","s__"
"OTU_16","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","","s__"
"OTU_30","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Incertae_sedis_Hypocreales","Emericellopsis","s__Emericellopsis minima"
"OTU_22","k__Fungi","p__Basidiomycota","c__","o__","f__","","s__"
