"","Abundant","Rare"
"Others",1.17373624518003,2.29692689738804
"p__Glomeromycota",4.95109161612496,6.03375803299318
"p__Chytridiomycota",4.97199532525575,7.48780771467945
"p__Zygomycota",8.47359152051789,5.21917162163695
"p__Basidiomycota",19.606156526537,18.4733133394826
"p__Ascomycota",60.8234287663844,60.4890223938198
