x	y	z	group
KO1	-0.0786996376347127	0.0971132837183481	-0.0304681307373908	A
KO2	0.0161703415741996	0.0960374696888999	-0.111418265134051	A
KO3	-0.164895702670694	0.0315441537945407	0.0939356620714597	A
KO4	-0.154358471529736	0.0489140463467656	-0.0421402283906405	A
KO5	-0.253664291536188	-0.0583310617487962	0.0902016420537231	A
KO6	-0.144946277010969	0.095995197625657	-0.0548191281035538	A
OE1	0.158342729906171	0.083996065337773	0.02371149498302	B
OE2	0.131161358286579	0.00214293967770547	0.128194134217059	B
OE3	0.0646889319214378	-0.032770807737451	0.0246742099261662	B
OE4	0.0417581515000005	-0.0244991526233331	0.0260992822233947	B
OE5	0.0643801566919669	0.00210791783803081	0.0201118803977881	B
OE6	0.131692318856839	0.104982273041083	0.0175999810248776	B
WT1	0.0474807314006252	-0.100559966682848	-0.0605655777163683	C
WT2	-0.0131706755974675	-0.143383669739821	-0.0855554721750003	C
WT3	0.0853706644153744	-0.0220895660440149	-0.0121314384826943	C
WT4	0.0382442203140213	-0.0385749789085015	-0.0643045969899757	C
WT5	-0.00796173564629775	-0.113976362362468	-0.00612812051294648	C
WT6	0.0384071867588496	-0.0286477812215697	0.0430026713451319	C
