unifrac_binary	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.0676	0.0881	0.068	0.0972	0.071	0.0748	0.0696	0.0733	0.0709	0.0699	0.0722	0.0724	0.0849	0.0701	0.0739	0.0773	0.0619
KO2	0.0676	0	0.0862	0.085	0.108	0.0778	0.0691	0.0596	0.0663	0.0706	0.0608	0.0637	0.062	0.0823	0.0664	0.0674	0.0773	0.0603
KO3	0.0881	0.0862	0	0.0789	0.0804	0.0748	0.107	0.100	0.105	0.0977	0.0943	0.102	0.105	0.0938	0.0978	0.0938	0.0829	0.0884
KO4	0.068	0.085	0.0789	0	0.0755	0.0626	0.0919	0.0937	0.0973	0.087	0.0838	0.0934	0.0942	0.0864	0.0885	0.0917	0.0787	0.084
KO5	0.0972	0.108	0.0804	0.0755	0	0.0837	0.121	0.114	0.117	0.111	0.100	0.120	0.113	0.103	0.111	0.102	0.102	0.105
KO6	0.071	0.0778	0.0748	0.0626	0.0837	0	0.0876	0.0904	0.0944	0.0865	0.081	0.0891	0.089	0.0879	0.09	0.0838	0.0767	0.0787
OE1	0.0748	0.0691	0.107	0.0919	0.121	0.0876	0	0.0527	0.0531	0.0496	0.0481	0.0447	0.0569	0.0679	0.0514	0.0603	0.0731	0.0569
OE2	0.0696	0.0596	0.100	0.0937	0.114	0.0904	0.0527	0	0.0451	0.0548	0.0512	0.0452	0.0502	0.0789	0.047	0.0582	0.0723	0.0547
OE3	0.0733	0.0663	0.105	0.0973	0.117	0.0944	0.0531	0.0451	0	0.0441	0.0512	0.0521	0.0481	0.0698	0.0478	0.0544	0.077	0.0591
OE4	0.0709	0.0706	0.0977	0.087	0.111	0.0865	0.0496	0.0548	0.0441	0	0.0555	0.0553	0.06	0.064	0.0513	0.0517	0.0734	0.0575
OE5	0.0699	0.0608	0.0943	0.0838	0.100	0.081	0.0481	0.0512	0.0512	0.0555	0	0.0517	0.0503	0.0603	0.0473	0.0483	0.0602	0.0465
OE6	0.0722	0.0637	0.102	0.0934	0.120	0.0891	0.0447	0.0452	0.0521	0.0553	0.0517	0	0.0589	0.0779	0.0495	0.0603	0.0766	0.0572
WT1	0.0724	0.062	0.105	0.0942	0.113	0.089	0.0569	0.0502	0.0481	0.06	0.0503	0.0589	0	0.0651	0.0515	0.0555	0.0706	0.0551
WT2	0.0849	0.0823	0.0938	0.0864	0.103	0.0879	0.0679	0.0789	0.0698	0.064	0.0603	0.0779	0.0651	0	0.0613	0.0549	0.0599	0.0697
WT3	0.0701	0.0664	0.0978	0.0885	0.111	0.09	0.0514	0.047	0.0478	0.0513	0.0473	0.0495	0.0515	0.0613	0	0.044	0.0637	0.0519
WT4	0.0739	0.0674	0.0938	0.0917	0.102	0.0838	0.0603	0.0582	0.0544	0.0517	0.0483	0.0603	0.0555	0.0549	0.044	0	0.0653	0.05
WT5	0.0773	0.0773	0.0829	0.0787	0.102	0.0767	0.0731	0.0723	0.077	0.0734	0.0602	0.0766	0.0706	0.0599	0.0637	0.0653	0	0.0622
WT6	0.0619	0.0603	0.0884	0.084	0.105	0.0787	0.0569	0.0547	0.0591	0.0575	0.0465	0.0572	0.0551	0.0697	0.0519	0.05	0.0622	0
