Features	S100001	S100003	S100009	S100015	S100016	S100043	S100046	S100047	S100048	S100049	S100051	S100052	S100058	S100060	S100062	S100065	S100068	S100070	S100071	S100072	S100074	S100075	S100077	S100078	S100080	S100083	S100084	S100085	S100086	S100087	S100088	S100089	S100090	S100091	S100092	S100095	S100096	S100099	S100100	S100101	S100102	S100104	S100105	S100106	S100107	S100109	S100115	S100117	S100128	S100143	S100144	S100150	S100151	S100154	S100155	S100156	S100158	S100160	S100161	S100162	S100163	S100164	S100165	S100166	S100167	S100168	S100169	S100170	S100171	S100172	S100173	S100174	S100175	S100176	S100177	S100178	S100180	S100181	S100182	S100183	S100184	S100187	S100188	S100190	S100191	S100192	S100195	S100196	S100197	S100198	S100200	S100202	S100203	S100204	S100205	S100206	S100207	S100209	S100210	S100211	S100212	S100214	S100216	S100217	S100219	S100220	S100221	S100222	S100224	S100225	S100226	S100227	S100228	S100229	S100233	S100234	S7003A	S7003B	S7007	S7010	S7016	S7018	S7021	S7022	S7035	S7037	S7039	S7043	S7049	S7052	S7059	S7061	S7064	S7072	S7077A	S7077B	S7079	S7085	S7094A	S7094B	S7094C	S7095	S7097	S7102	S7111	S7116	S7117	S7123	S7124	S7125	S7126	S7129	S7130	S7134	S7135	S7141	S7145	S7153	S7154	S7156	S7160	S7164	S7168	S7174	S7175A	S7175B	S7178A	S7178B	S7181	S7185	S7200	S7221	S7225	S7228	S7233	S7242A	S7242B	S7250	S7251	S7265	S7267	S7284	S7287	S7295	S7298	S7313	S7325	S7347	S7352	S7355	S7356	S7360	S7361	S7365	S7385	S7429	S7454	S7584	S7594	S7610	S7614	S7615	S7621	S7624	S7632	S7662	S7664	S7749	S7775	S7844	S7848	S7855	S7858	S7859	S7860	S7861	S7862	S7870	S7871	S7879	S7899	S7904	S7906	S7908	S7909	S7910	S7911	S7912
Glycosaminoglycan_degradation	556.21	474.04	490.47	571.74	591.54	697.55	425.87	726.97	570.51	508.88	611.81	959.44	379.83	659.83	458.18	350.64	622.38	875.70	507.39	653.01	544.20	453.10	627.87	739.81	388.29	554.91	579.68	736.88	616.65	524.50	905.46	668.35	816.67	618.20	512.48	600.76	482.83	596.34	280.96	680.01	358.74	432.35	473.44	725.27	629.47	715.08	184.89	601.46	408.46	519.84	530.49	635.60	565.51	652.00	546.22	488.90	706.89	471.17	656.68	745.21	567.93	977.61	484.69	694.90	348.42	626.78	582.00	564.66	596.19	688.32	709.60	511.16	801.97	758.72	454.00	543.13	569.19	681.12	407.75	388.84	695.28	128.10	627.07	477.43	848.90	619.85	327.28	287.24	604.89	813.46	518.32	678.17	427.39	513.37	682.81	636.45	655.48	740.47	914.02	891.70	799.16	540.45	916.18	225.39	631.90	642.41	656.59	701.41	671.69	579.69	552.53	809.09	335.30	692.67	651.82	500.56	576.50	711.86	164.13	391.93	785.14	496.85	321.99	284.32	268.57	471.49	509.55	248.79	151.12	594.18	302.17	481.11	253.48	827.04	884.36	301.91	559.90	440.70	724.15	306.33	440.06	401.94	548.84	744.16	666.23	567.54	563.90	532.25	513.82	488.18	369.51	661.39	873.25	764.65	961.29	947.55	317.64	703.17	341.47	627.74	474.16	996.98	477.52	621.72	832.79	757.94	540.08	669.10	407.59	225.41	689.57	691.82	508.19	657.43	551.70	649.08	609.08	438.86	753.24	604.05	487.60	960.81	517.76	645.69	737.04	647.78	704.35	863.74	650.87	619.39	620.04	355.11	878.01	635.87	431.22	679.82	424.77	387.72	1031.79	416.32	768.68	524.79	708.22	364.16	309.69	165.37	371.26	148.46	494.29	600.07	487.43	452.85	583.90	470.83	644.07	523.57	485.69	452.25	797.05	395.68	647.77	608.87	593.70	430.30	351.12	444.32	337.41	491.05
Glycosaminoglycan_biosynthesis_chondroitin_sulfate_dermatan_sulfate	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glycosaminoglycan_biosynthesis_keratan_sulfate	159.69	164.88	188.54	135.19	164.90	211.10	190.83	169.79	169.78	166.40	211.76	185.87	193.00	165.90	149.01	131.89	156.79	193.82	154.43	186.58	175.73	181.46	210.55	167.55	223.99	183.07	140.44	203.80	150.08	193.12	199.16	163.41	176.69	197.84	184.89	155.07	157.50	166.21	96.31	208.26	167.91	158.02	151.42	179.02	163.70	184.04	214.43	174.30	198.46	179.01	147.76	163.50	157.26	216.50	208.51	146.70	163.17	229.54	152.72	211.80	203.75	207.19	185.18	168.12	134.45	153.53	256.09	159.61	170.31	164.09	177.09	156.48	241.36	259.47	268.05	179.19	176.14	145.52	147.60	116.37	186.96	367.14	208.53	198.11	180.75	141.19	147.68	125.61	208.71	175.91	169.58	154.12	152.95	176.68	186.39	178.96	162.71	178.85	180.10	227.89	180.77	171.05	227.40	164.31	168.79	192.88	226.99	169.80	198.43	231.55	140.90	191.93	146.35	168.24	184.05	180.96	172.46	165.49	63.52	110.21	165.65	181.68	98.15	156.26	64.71	135.86	133.61	67.53	56.31	284.01	186.66	161.20	292.49	218.83	327.83	90.64	160.64	94.32	288.45	111.15	116.10	550.06	126.88	157.24	161.51	235.91	125.08	206.46	134.53	127.33	94.12	173.64	193.36	352.42	253.12	208.23	96.06	130.82	138.22	159.85	159.33	182.54	123.96	152.51	184.13	172.27	112.89	146.26	138.30	62.65	198.02	159.55	245.20	166.75	162.20	183.90	337.03	130.97	128.17	154.82	250.26	316.72	180.57	139.51	188.16	149.83	151.44	199.76	164.35	153.31	144.93	119.22	173.92	187.16	186.52	153.37	220.02	94.97	196.68	162.23	174.46	181.29	169.52	164.93	77.60	79.15	116.09	47.68	196.87	163.86	141.94	158.10	189.75	136.32	167.83	169.35	161.90	141.80	167.11	152.05	156.56	152.65	166.90	137.62	131.78	147.77	160.34	181.95
Glycosaminoglycan_biosynthesis_heparan_sulfate_heparin	141.12	152.15	200.49	107.00	173.98	141.62	143.51	149.61	182.01	163.12	173.97	91.56	153.05	156.70	159.31	116.23	143.96	146.86	143.09	177.89	161.38	122.73	169.41	157.11	176.25	141.93	122.17	157.88	130.12	175.91	148.15	138.46	145.11	195.43	170.87	144.76	150.40	126.06	77.98	176.17	136.26	122.88	135.90	148.26	150.04	157.50	98.03	106.07	163.68	160.76	100.94	143.95	142.21	153.93	176.40	135.53	134.12	213.28	135.50	149.88	158.03	102.93	158.25	151.87	110.87	128.65	209.13	166.71	133.36	151.45	155.47	179.68	144.97	214.01	200.46	139.44	129.22	107.89	120.49	106.05	117.95	242.99	138.99	169.09	144.72	89.69	121.27	104.24	159.07	143.02	139.83	81.17	126.30	146.14	134.27	154.20	141.98	170.16	115.15	176.34	165.48	187.81	130.33	112.38	138.32	138.05	187.69	159.39	148.50	173.30	115.98	140.08	120.30	137.16	137.19	161.29	98.45	87.12	33.55	52.47	118.89	111.97	85.19	77.64	35.80	121.58	129.59	70.81	39.98	164.72	290.86	107.85	137.00	107.47	156.93	97.21	120.64	46.97	121.40	56.40	48.96	307.00	89.11	112.03	141.68	140.94	97.02	124.92	125.88	85.62	52.34	152.60	87.66	199.23	114.21	148.60	94.20	84.72	130.48	150.56	77.60	79.77	126.33	146.91	138.74	94.69	88.57	121.28	95.77	39.01	95.85	147.62	105.73	134.73	160.21	108.95	168.83	138.47	63.46	140.86	193.78	120.72	117.54	62.25	129.47	109.97	72.52	127.64	91.56	154.42	123.58	88.71	133.49	149.06	137.48	108.19	132.49	82.78	86.77	136.24	82.87	125.44	153.21	100.43	38.78	63.19	96.63	30.72	157.93	157.29	127.47	146.87	173.82	131.94	124.27	141.09	162.72	116.08	125.12	138.32	131.09	125.53	160.59	141.09	120.24	145.92	130.14	166.88
Lipopolysaccharide_biosynthesis	680.98	627.39	1150.23	680.06	622.48	956.29	622.29	756.32	599.23	801.18	872.51	1048.15	731.11	723.40	538.71	545.98	664.29	1002.73	663.87	762.70	843.61	738.83	960.08	952.62	860.31	840.74	638.46	925.50	694.17	752.72	1083.82	768.09	819.10	695.96	682.90	650.09	648.46	881.78	396.71	795.50	627.06	672.98	656.92	838.19	743.36	878.12	692.93	822.62	764.95	655.73	735.96	734.84	685.67	1186.95	839.69	604.54	788.54	499.54	798.46	1009.98	804.60	1168.07	741.66	742.77	545.20	692.53	901.57	620.93	802.55	794.99	894.07	502.60	1247.34	906.04	1057.14	944.49	721.68	761.33	561.81	470.98	939.72	796.95	1221.59	646.07	890.39	710.60	513.18	469.76	1064.56	846.06	854.36	906.75	880.56	665.24	908.53	892.13	780.65	652.73	965.99	1019.88	811.07	626.81	1152.12	452.77	690.49	821.30	818.60	815.71	956.41	848.96	808.94	930.16	467.74	883.73	983.12	673.88	798.76	942.11	292.46	559.87	858.06	628.00	394.86	694.22	449.01	724.71	621.75	307.24	257.88	1266.88	713.24	937.60	1020.75	1049.96	1490.18	320.93	858.57	621.32	1313.54	516.84	670.53	2734.92	662.72	817.78	728.18	982.24	681.76	1202.52	545.11	638.74	598.05	848.70	1065.12	1421.29	1419.38	1247.86	383.24	714.57	523.32	800.97	695.10	1029.97	486.16	727.73	922.60	941.63	584.22	726.12	495.61	271.92	986.12	862.71	1660.74	766.01	709.80	913.44	1364.78	469.03	868.61	821.85	909.37	1900.45	910.34	804.87	959.58	876.96	874.79	979.79	854.11	671.82	739.30	588.13	851.24	955.53	934.93	739.84	924.50	445.24	1241.26	657.42	1131.26	799.50	789.72	930.62	440.20	269.71	558.86	192.75	808.63	832.57	597.92	645.28	837.43	565.46	790.66	709.03	598.35	590.30	843.61	572.16	807.19	747.88	661.27	498.34	527.65	542.77	608.70	606.77
Peptidoglycan_biosynthesis	1365.57	1444.78	1296.05	1030.51	1687.99	1369.88	1423.26	1467.72	1722.29	1578.88	1628.34	978.29	1421.39	1583.29	1533.87	1118.59	1349.91	1469.79	1365.56	1697.61	1405.06	1141.21	1734.75	1374.67	1614.27	1352.47	1230.66	1528.19	1257.73	1680.78	1455.57	1300.43	1478.39	1875.61	1684.92	1409.61	1444.37	1283.09	753.10	1708.13	1299.04	1219.39	1279.19	1470.35	1474.19	1528.54	824.25	1021.76	1546.79	1577.74	944.09	1398.09	1460.41	1642.55	1666.96	1404.91	1301.74	1671.20	1261.46	1453.08	1655.28	1040.51	1520.82	1467.14	1087.28	1244.27	2020.28	1643.22	1317.63	1415.87	1429.54	1743.73	1326.79	2093.28	1866.13	1497.65	1339.22	1091.64	1212.68	1018.44	1155.11	1844.21	1482.73	1604.75	1448.90	927.57	1192.81	1043.86	1671.33	1435.72	1546.41	908.35	1201.92	1497.34	1397.17	1502.26	1389.25	1401.50	1191.70	1848.20	1572.93	1829.40	1296.06	1028.69	1318.29	1416.47	1868.37	1540.86	1398.47	1703.68	1064.57	1372.25	1216.31	1326.00	1311.16	1573.20	1020.34	879.47	322.81	500.67	1273.72	1254.25	819.83	784.50	319.35	1153.55	1232.94	669.65	368.83	1373.69	1806.95	914.52	976.85	1097.09	1290.83	949.53	1280.74	481.86	1047.84	569.92	537.08	1781.95	928.16	1163.33	1386.81	1267.62	916.28	1366.42	1232.10	873.28	554.20	1408.34	876.70	1581.07	1222.68	1332.32	928.57	774.23	1222.84	1449.66	744.73	898.72	1213.70	1355.68	1327.03	977.78	878.22	1206.25	1068.48	426.11	910.90	1374.88	1049.99	1338.07	1511.25	1035.98	1352.85	1266.37	647.15	1305.75	1728.65	1280.73	1218.20	627.84	1359.91	1028.70	832.50	1173.53	835.09	1479.09	1170.62	908.27	1285.16	1596.98	1013.53	1084.63	1158.43	809.99	1005.22	1285.39	944.92	1062.72	1484.88	1186.12	367.32	833.13	964.62	316.66	1542.56	1464.53	1294.93	1448.99	1765.29	1311.01	1224.56	1419.15	1578.79	1181.42	1305.13	1478.73	1241.36	1203.78	1530.91	1387.14	1101.11	1403.62	1260.65	1618.74
Glycerolipid_metabolism	1174.01	1093.83	1601.88	742.28	968.28	1231.21	1275.71	892.41	1045.33	951.11	1476.08	801.54	1471.98	793.26	901.82	905.90	920.00	1083.55	1024.16	1318.04	1186.83	1211.32	1386.79	1076.00	1632.51	1155.79	868.45	1213.31	872.27	1300.68	1044.41	985.29	803.39	1334.01	1355.09	876.04	1090.41	811.36	736.71	1354.74	1301.98	1203.15	1046.39	1051.49	1024.15	1045.19	1015.20	897.15	1460.15	1247.05	911.95	924.17	1367.54	962.30	1417.86	1275.11	900.84	1471.61	835.96	1258.47	1566.62	980.23	1392.30	931.63	1127.48	926.99	1854.46	1085.33	1152.66	1143.19	1088.53	788.11	845.77	1824.23	2048.34	811.07	1248.95	902.45	1007.75	778.76	1158.92	2194.01	921.91	1336.61	853.02	875.68	1055.24	984.91	885.38	846.55	827.78	786.53	804.38	1365.36	1284.07	988.83	1011.65	1302.76	1095.07	1765.80	999.70	963.10	1182.86	923.33	1063.98	1308.69	1769.89	923.49	1163.25	1568.40	797.41	1230.13	893.30	1046.04	1062.88	1273.94	1004.80	776.57	325.13	491.26	728.07	1144.63	614.54	839.96	297.93	709.54	726.87	369.57	305.83	1391.89	1550.41	876.43	1243.12	1074.81	1390.31	518.54	661.34	407.89	1262.21	563.18	488.02	2386.65	603.97	766.55	874.17	1119.85	665.40	792.69	743.39	632.25	403.63	882.09	831.05	1573.13	1119.66	1168.65	549.21	654.13	754.61	867.20	773.88	758.16	712.97	777.20	972.42	860.72	536.39	750.01	937.70	332.57	933.88	804.55	1055.22	764.99	817.45	871.97	1594.96	740.91	535.48	798.58	1361.34	1051.13	998.88	533.68	792.88	719.14	678.69	943.20	825.79	825.32	783.36	538.92	856.73	875.07	845.46	734.80	1118.13	529.48	831.17	987.79	852.89	1012.72	896.37	913.93	341.94	595.82	667.49	296.73	1476.07	983.48	943.77	1116.67	945.70	794.99	957.04	1352.94	1076.59	1133.37	878.96	1041.35	834.72	845.68	1030.02	929.27	893.74	1033.87	1230.31	1154.71
Inositol_phosphate_metabolism	716.16	714.24	758.73	459.63	645.31	846.96	765.07	550.90	690.30	573.06	931.22	535.81	1069.91	530.60	595.00	555.61	530.54	701.89	672.71	838.88	748.05	610.50	921.09	586.45	1132.82	773.21	544.41	831.40	577.37	793.55	644.23	599.83	526.57	775.16	840.45	632.32	801.12	483.09	387.90	817.23	821.59	772.47	643.68	661.34	639.56	602.61	363.66	567.53	979.31	799.86	618.62	608.36	942.13	623.71	848.20	862.11	553.98	669.50	473.67	841.76	884.51	597.41	951.39	577.55	760.81	559.59	1182.21	754.43	708.37	623.37	659.16	477.59	570.14	939.12	1412.76	525.72	766.80	584.75	603.51	499.96	828.58	779.30	586.58	859.41	561.34	559.17	658.28	619.92	587.82	566.85	549.84	535.30	518.93	790.40	842.57	633.26	627.01	479.54	710.94	1119.04	611.31	597.42	801.54	496.48	608.66	683.10	1092.20	583.79	722.17	865.26	506.19	643.10	457.91	586.56	558.41	759.16	544.45	436.15	131.84	233.06	479.89	321.64	308.81	476.48	155.68	441.08	474.52	236.88	176.14	605.90	577.30	378.48	393.08	561.82	658.57	322.74	411.64	255.94	664.52	299.90	243.89	733.61	383.48	453.06	493.38	479.58	412.40	502.07	485.21	414.80	256.14	490.00	453.75	606.01	634.20	604.43	342.43	336.20	466.71	512.76	273.35	517.80	413.25	460.38	617.89	598.29	353.72	491.34	291.33	143.38	456.57	496.39	309.79	472.37	485.77	536.50	548.72	399.50	356.92	469.60	738.01	580.55	640.23	300.82	510.75	431.69	419.43	462.82	414.29	500.05	448.54	321.68	483.90	529.98	412.16	466.56	437.31	332.44	517.61	690.30	484.60	372.76	564.65	478.10	182.44	237.90	443.98	143.12	963.59	641.89	544.92	681.29	560.75	520.06	649.02	849.83	679.84	701.66	569.50	525.78	528.25	535.78	610.84	594.38	534.63	614.27	799.71	668.69
Glycosylphosphatidylinositol_GPI_Anchor_biosynthesis	159.69	164.88	188.54	135.19	164.90	211.10	190.83	169.79	169.78	166.40	211.76	185.87	193.00	165.90	149.01	131.89	156.79	193.82	154.43	186.58	175.73	181.46	210.55	167.55	223.99	183.07	140.44	203.80	150.08	193.12	199.16	163.41	176.69	197.84	184.89	155.07	157.50	166.21	96.31	208.26	167.91	158.02	151.42	179.02	163.70	184.04	214.43	174.30	198.46	179.01	147.76	163.50	157.26	216.50	208.51	146.70	163.17	228.14	152.72	211.80	203.75	207.19	185.18	168.12	134.45	153.53	256.09	159.61	170.31	164.09	177.09	156.48	241.36	259.47	268.05	179.19	176.14	145.52	147.60	116.37	186.96	359.59	208.53	198.11	180.75	141.19	147.68	125.61	208.71	175.91	169.58	154.12	152.95	176.68	186.39	178.96	162.71	178.85	180.10	227.89	180.77	171.05	227.40	164.31	168.79	192.88	226.99	169.80	198.43	231.55	140.90	191.93	146.35	168.24	184.04	180.96	172.46	165.49	63.52	110.21	165.65	181.68	98.15	156.26	64.71	135.86	133.61	67.53	56.30	284.01	186.66	161.20	292.49	218.83	327.83	90.64	160.64	94.32	288.21	111.15	116.10	550.06	126.88	157.24	161.51	235.91	125.08	206.46	134.53	127.33	94.12	173.64	193.36	352.42	253.12	208.23	96.06	130.82	138.22	159.85	159.33	182.54	123.96	152.51	184.13	172.27	112.89	146.26	138.30	62.65	198.02	159.55	245.20	166.75	162.20	183.90	337.03	130.97	128.17	154.82	250.26	316.72	180.57	139.51	188.16	149.83	151.44	199.76	164.35	153.31	144.93	119.22	173.92	187.16	186.52	153.37	220.02	94.97	196.68	162.23	174.46	181.29	169.52	164.93	77.60	79.15	116.09	47.68	196.87	163.86	141.94	158.10	189.75	136.32	167.83	169.35	161.90	141.80	167.11	152.05	156.56	152.65	166.90	137.62	131.78	147.77	160.34	181.95
Glycerophospholipid_metabolism	1687.77	1821.50	1824.02	1269.18	1882.71	1891.08	1746.37	1723.85	1942.47	1760.68	2241.31	1323.67	2050.03	1692.32	1724.53	1458.24	1667.53	1830.69	1721.30	2141.07	1908.25	1703.55	2215.06	1915.13	2315.89	1822.22	1490.32	1997.36	1524.27	2168.21	1869.95	1707.04	1636.06	2234.07	2093.64	1655.83	1824.40	1560.51	1035.83	2118.04	1784.86	1713.66	1607.93	1813.15	1787.35	1909.83	1330.53	1338.30	2121.71	1932.54	1409.00	1694.39	1941.70	1890.84	2187.43	1813.35	1639.63	1985.56	1582.21	1956.01	2231.39	1515.93	2067.82	1734.91	1551.75	1577.29	2644.05	1908.24	1759.48	1914.15	1858.60	1772.16	1634.72	2660.59	2808.64	1663.97	1739.39	1430.95	1470.90	1288.55	1709.45	2638.11	1684.52	1936.18	1665.35	1281.61	1512.46	1393.03	1816.75	1670.14	1600.43	1189.88	1454.60	1961.72	1811.65	1790.89	1668.87	2086.51	1642.96	2483.08	1918.30	1963.23	1808.34	1255.41	1719.81	1976.81	2362.56	1781.00	1882.61	2168.32	1386.62	1914.84	1307.66	1788.82	1636.16	2066.00	1494.28	1239.67	495.01	776.94	1441.41	1755.16	1057.40	1274.17	517.80	1314.75	1427.78	752.76	500.01	2039.80	2367.17	1424.89	1663.51	1645.96	2136.26	1004.39	1423.34	669.46	1866.95	850.45	817.38	3707.63	1105.62	1403.85	1620.69	1644.39	1199.77	1567.09	1437.23	1074.33	745.55	1660.47	1331.97	2477.15	1763.54	1982.80	1057.70	1176.45	1418.97	1691.61	1174.89	1220.55	1381.30	1614.19	1733.51	1352.54	1068.25	1420.79	1458.66	546.08	1436.87	1667.07	1833.26	1521.86	1692.85	1389.90	2290.22	1497.82	918.97	1579.66	2301.86	1797.88	1573.92	886.34	1554.42	1341.33	1082.51	1674.49	1342.38	1662.70	1487.53	1014.20	1650.36	1732.78	1528.50	1326.80	1796.25	972.40	1432.95	1655.70	1384.66	1649.54	1722.85	1457.48	552.00	926.24	1159.47	454.62	2143.10	1803.71	1545.56	1791.18	1921.57	1502.71	1571.99	1928.15	1881.64	1614.57	1508.00	1669.13	1509.60	1523.40	1872.60	1623.15	1413.41	1710.52	1733.01	1826.93
Ether_lipid_metabolism	311.98	295.61	374.99	242.41	304.76	314.28	330.58	286.60	316.08	307.03	384.38	247.44	367.65	262.08	268.57	257.49	283.68	354.98	290.00	387.95	329.51	422.46	395.63	361.94	377.41	304.48	263.59	332.83	273.26	362.45	346.66	297.13	272.60	378.52	371.50	283.13	315.46	239.52	218.98	372.17	335.98	309.44	305.72	311.65	320.95	315.92	390.34	234.35	353.48	345.96	256.64	281.09	394.13	271.38	381.83	353.43	282.14	439.18	279.08	349.28	434.32	339.90	359.81	293.00	291.80	281.66	484.74	332.78	339.26	344.58	344.55	261.34	281.61	512.78	470.41	241.80	346.22	283.84	275.08	223.62	304.72	623.12	254.09	350.53	278.08	253.61	261.80	245.08	253.23	279.33	235.86	247.93	222.15	369.09	343.29	295.04	311.41	366.02	329.88	510.31	319.92	302.96	318.00	207.81	300.81	383.86	476.56	298.58	329.72	442.44	255.79	381.22	230.55	345.97	327.06	351.80	274.27	232.98	114.05	186.35	245.76	364.47	181.82	325.95	99.55	217.90	238.52	123.43	90.91	486.98	408.86	353.57	542.98	346.67	619.37	158.23	208.83	133.78	490.76	175.37	142.77	1021.65	197.16	246.44	306.31	340.33	214.62	246.25	226.98	188.89	126.75	280.03	309.23	671.45	421.95	367.50	166.62	216.81	230.19	296.83	302.18	237.30	223.13	255.15	298.62	239.17	181.24	240.04	294.82	104.51	346.31	293.01	309.09	271.40	291.38	305.19	682.00	249.85	181.41	280.07	456.45	389.18	279.45	183.45	262.26	252.28	209.23	340.43	320.43	274.78	257.26	156.48	278.80	275.21	322.78	250.22	437.47	166.72	255.94	248.00	234.31	343.62	295.99	316.87	124.55	167.61	193.98	94.34	384.30	313.01	272.19	318.79	283.69	245.48	263.94	367.39	311.29	316.77	262.32	285.61	278.40	260.63	308.71	270.98	242.96	291.00	297.05	310.39
Arachidonic_acid_metabolism	45.55	30.92	69.70	42.32	19.72	54.20	42.92	40.44	29.17	38.69	53.53	73.46	38.32	28.05	12.84	32.37	39.60	54.60	32.08	43.64	52.09	135.20	50.78	54.16	47.89	40.21	36.36	47.58	37.87	33.78	46.83	44.17	42.23	40.51	34.72	32.46	27.37	65.18	36.26	52.53	42.55	36.84	44.79	49.61	34.66	66.95	202.34	54.09	39.62	34.48	45.28	35.93	40.97	79.46	53.57	36.98	41.33	133.99	39.81	53.42	54.58	117.65	36.65	41.93	30.96	41.42	54.59	24.17	49.85	59.33	45.24	11.65	72.92	62.00	49.27	58.57	48.05	45.84	47.32	25.60	62.08	286.77	86.81	44.45	42.11	53.91	31.84	27.18	58.45	38.14	42.23	54.01	37.68	51.38	55.21	33.90	47.97	72.91	68.44	67.28	46.89	13.48	70.47	35.42	55.19	47.11	54.80	37.80	45.33	80.29	45.12	89.61	34.74	44.60	74.01	27.68	64.38	59.86	46.07	101.78	39.22	62.98	23.79	136.59	27.94	28.19	19.01	7.37	37.85	222.97	120.07	134.08	341.20	125.30	343.84	16.28	60.13	35.29	284.04	64.69	68.48	997.09	34.37	41.81	50.24	130.00	34.57	100.29	24.32	44.23	38.06	42.11	125.11	364.61	165.08	78.99	18.45	75.21	34.92	27.52	134.38	84.31	29.39	33.24	59.52	57.13	29.78	37.04	43.43	22.71	155.79	22.32	203.45	57.43	49.71	96.65	357.43	42.65	58.95	29.17	139.94	258.06	56.60	77.82	78.27	57.42	52.93	128.22	182.74	36.79	40.17	38.09	67.22	51.02	377.68	64.16	229.25	20.89	93.43	25.83	78.61	126.25	41.69	38.28	50.70	15.18	26.39	22.41	40.39	31.64	35.42	32.00	46.84	21.71	41.91	39.42	23.67	36.34	55.09	35.97	39.21	34.73	35.53	18.53	31.76	29.29	43.09	35.72
Linoleic_acid_metabolism	25.99	22.21	43.31	15.81	12.24	24.28	26.38	15.89	23.80	18.86	39.00	16.85	32.38	5.81	11.37	22.05	22.04	32.01	25.94	33.19	33.94	93.67	26.91	40.10	40.44	23.18	18.96	23.68	18.14	28.70	17.79	25.11	9.08	31.85	30.10	14.55	19.91	21.84	28.04	31.66	34.55	27.19	27.09	23.98	21.72	31.25	127.85	19.56	34.60	25.60	22.56	17.01	34.59	19.57	39.14	33.54	17.75	79.03	20.29	24.74	45.59	53.00	32.28	17.80	29.49	22.38	42.80	19.53	32.14	42.51	27.89	2.45	24.91	44.48	47.80	9.95	31.06	22.52	30.93	18.00	28.13	123.74	18.61	32.56	8.26	24.42	24.14	24.34	9.77	9.22	11.05	16.39	11.90	38.80	30.49	12.63	28.56	51.36	30.86	44.93	21.20	11.23	25.64	19.17	33.03	30.95	45.18	22.82	24.31	55.17	27.12	39.26	19.59	29.43	36.05	23.24	23.07	16.63	26.22	47.94	5.95	39.99	13.65	95.88	11.76	10.24	10.81	4.63	18.29	129.55	37.80	66.25	218.42	58.38	200.36	9.64	13.36	11.38	165.82	34.15	25.27	444.10	10.69	10.37	35.34	61.25	13.35	31.17	10.75	14.57	9.69	21.39	55.85	227.83	72.69	41.68	9.23	33.79	23.47	12.01	77.60	14.70	16.36	13.72	22.80	18.23	8.43	12.76	28.74	9.96	78.71	10.29	93.93	26.11	24.95	39.61	230.23	29.20	22.66	19.07	95.66	105.84	24.48	27.36	23.10	32.78	10.16	66.11	88.67	20.49	19.32	10.22	25.99	11.97	125.21	27.86	141.66	9.96	19.60	15.73	25.22	79.56	19.80	24.81	21.57	6.09	12.79	13.79	34.75	19.82	17.92	24.68	13.78	11.95	18.40	33.60	19.46	28.92	23.22	19.15	15.98	14.85	21.63	15.76	22.75	22.40	35.24	25.05
