,KO1,KO2,KO3,KO4,KO5,KO6,OE1,OE2,OE3,OE4,OE5,OE6,WT1,WT2,WT3,WT4,WT5,WT6
Actinobacteria,25.6,40.4,27.9,28.2,17.1,23.7,28.2,34.8,32.8,27.3,29.9,28.9,34.9,29.6,31.8,33.9,33.5,31
Alphaproteobacteria,17.3,15.6,21,18.1,20.2,19.9,17.9,15,11.9,13.9,17.6,16.8,11.4,13.4,14.4,15.2,14.6,15.3
Betaproteobacteria,28.2,19.9,25.2,28,35.8,31.5,17.5,15,21.4,22.1,21,18.6,22.1,25.4,21.5,22.2,22.9,21.4
Gammaproteobacteria,13.4,8.44,10.2,10.6,13,10.6,13.5,11.8,12.1,14,14.2,14.2,12.1,15.7,13.3,13.1,14.2,14.1
Deltaproteobacteria,3.76,2.9,2.74,3.25,2.93,2.91,4.32,2.94,3.75,3.64,3.78,3.83,3.14,3.79,3.5,3.39,3.13,3.3
Bacilli,1.54,1.37,1.43,3.07,0.78,1.59,4.94,2.68,2.24,3.19,1.72,4.72,0.83,0.409,1.02,1.02,0.577,0.955
Cytophagia,1.11,0.674,0.349,0.465,0.481,0.231,1.63,1.11,1.65,2.36,1.27,1.04,1.14,1.22,1.71,1.64,0.852,1.16
Chloroflexia,0.874,1.25,0.474,0.974,1.05,0.608,0.917,2.09,0.811,1.25,1.48,1.22,3.4,0.677,1.15,1.09,1.62,1.44
Flavobacteriia,1.53,1.77,6.73,2.39,4.49,1.88,1.57,6.45,6.36,4.53,2.07,1.88,3.77,4.28,2.76,2.01,3.34,4.38
Planctomycetia,0.0406,0.247,0.159,0.0312,0.0593,0.0718,0.465,0.871,0.412,0.203,0.296,0.587,0.234,0.175,0.328,0.193,0.131,0.172
