,Treat,SOC,pH,Moisture,CEC,TP,TK,AK,AP,TN,NO3
KO1,KO,28.36678737,7.88,0.2934,14.02969878,0.36,13.48841853,194.5,2.51,1.052,20.03088038
KO2,KO,69.79510936,8.13,0.1906,20.95748907,0.68,15.98442492,355.6,2.26,2.539,12.21199798
KO3,KO,45.59631034,8.25,0.321,18.58156397,0.27,12.76978417,166.1,2.31,1.832,1.238023356
KO4,KO,14.67232063,8.91,0.1329,10.27185867,0.46,15.43443603,230.3,1.76,0.531,16.07248426
KO5,KO,31.00648555,8.1,0.0876,14.33263661,0.07,16.17118915,279.8,11.86,1.647,5.685252518
KO6,KO,20.30263804,8.51,0.0964,10.20760201,0.01,11.21551379,108.2,1.06,0.786,3.077950322
OE1,OE,49.48911902,7.99,0.1919,17.00611393,0.64,15.59,477.8,6.16,1.799,7.017045439
OE2,OE,25.79279686,8.15,0.1406,11.9859224,0.1,19.43222711,227.2,1.81,1.106,4.604929586
OE3,OE,33.41704681,7.73,0.3306,17.51598561,0.2,12.98480608,391.4,1.86,1.653,26.32821215
OE4,OE,26.68953577,8.23,0.1089,15.00404105,0.21,15.95893142,258.8,1.06,1.237,5.574801933
OE5,OE,15.88326184,8.14,0.3359,3.968700499,0.24,16.38412445,198.7,7.91,0.537,9.214097037
OE6,OE,13.83179077,8.29,0.2562,5.826849429,0.34,14.91210547,407.2,1.26,0.457,39.81897725
WT1,WT,23.69143115,8.4,0.1316,14.03859752,0.21,16.82980423,180.8,1.11,1.135,7.725951728
WT2,WT,56.9306037,8.07,0.1392,17.41473808,0.25,15.55,412.5,1.86,2.186,26.84829614
WT3,WT,34.34046597,8.4,0.0602,9.521544548,0.64,14.95811727,221.9,10.31,1.106,11.57412961
WT4,WT,21.03839895,8.77,0.0553,4.542246355,0.44,14.17597765,89.2,0.26,0.523,12.62945263
WT5,WT,15.93845748,8.41,0.1673,5.937863576,0.27,15.81205108,114.5,0.21,0.391,3.090054163
WT6,WT,22.02796629,8.28,0.085854047,8.073733196,0.28,16.01235552,158.7,3.46,0.644,7.20703048
