bray_curtis	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.268	0.303	0.255	0.319	0.239	0.314	0.343	0.309	0.273	0.275	0.291	0.300	0.305	0.286	0.296	0.316	0.266
KO2	0.268	0	0.344	0.326	0.420	0.297	0.321	0.321	0.323	0.316	0.285	0.312	0.285	0.329	0.275	0.281	0.330	0.286
KO3	0.303	0.344	0	0.301	0.317	0.302	0.411	0.386	0.348	0.343	0.344	0.390	0.366	0.354	0.355	0.338	0.343	0.313
KO4	0.255	0.326	0.301	0	0.316	0.247	0.384	0.389	0.337	0.321	0.318	0.361	0.325	0.325	0.334	0.331	0.324	0.310
KO5	0.319	0.420	0.317	0.316	0	0.311	0.469	0.441	0.417	0.383	0.384	0.453	0.388	0.356	0.399	0.393	0.359	0.366
KO6	0.239	0.297	0.302	0.247	0.311	0	0.373	0.391	0.339	0.314	0.311	0.336	0.337	0.336	0.327	0.322	0.322	0.318
OE1	0.314	0.321	0.411	0.384	0.469	0.373	0	0.277	0.301	0.292	0.254	0.211	0.310	0.339	0.239	0.302	0.338	0.269
OE2	0.343	0.321	0.386	0.389	0.441	0.391	0.277	0	0.287	0.286	0.255	0.291	0.287	0.350	0.263	0.313	0.330	0.252
OE3	0.309	0.323	0.348	0.337	0.417	0.339	0.301	0.287	0	0.233	0.268	0.293	0.262	0.295	0.266	0.276	0.290	0.256
OE4	0.273	0.316	0.343	0.321	0.383	0.314	0.292	0.286	0.233	0	0.252	0.280	0.260	0.282	0.245	0.257	0.280	0.239
OE5	0.275	0.285	0.344	0.318	0.384	0.311	0.254	0.255	0.268	0.252	0	0.245	0.257	0.282	0.215	0.244	0.246	0.219
OE6	0.291	0.312	0.390	0.361	0.453	0.336	0.211	0.291	0.293	0.280	0.245	0	0.308	0.344	0.258	0.297	0.325	0.280
WT1	0.300	0.285	0.366	0.325	0.388	0.337	0.310	0.287	0.262	0.260	0.257	0.308	0	0.220	0.235	0.264	0.251	0.238
WT2	0.305	0.329	0.354	0.325	0.356	0.336	0.339	0.350	0.295	0.282	0.282	0.344	0.220	0	0.263	0.253	0.259	0.277
WT3	0.286	0.275	0.355	0.334	0.399	0.327	0.239	0.263	0.266	0.245	0.215	0.258	0.235	0.263	0	0.231	0.275	0.211
WT4	0.296	0.281	0.338	0.331	0.393	0.322	0.302	0.313	0.276	0.257	0.244	0.297	0.264	0.253	0.231	0	0.292	0.246
WT5	0.316	0.330	0.343	0.324	0.359	0.322	0.338	0.330	0.290	0.280	0.246	0.325	0.251	0.259	0.275	0.292	0	0.253
WT6	0.266	0.286	0.313	0.310	0.366	0.318	0.269	0.252	0.256	0.239	0.219	0.280	0.238	0.277	0.211	0.246	0.253	0
