OTUID	logFC	logCPM	PValue	FDR	level	Kingdom	Phylum	Class	Order	Family	Genus	Species	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_2603	-1.291	6.32	0.146887778621921	0.493565447706608	NotSig	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	Unassigned	0.001	0.004	0.003	0.006	0	0	0	0	0.003	0	0.008	0.003	0.003	0.008
ASV_2478	-1.63	6.435	0.147296990029275	0.494107183574074	NotSig	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.005	0.006	0	0	0	0	0.003	0.011	0	0.011	0	0	0.011
ASV_1387	-1.259	7.016	0.147424606273526	0.494107183574074	NotSig	Bacteria	Candidatus_Saccharibacteria	Unassigned	Unassigned	Unassigned	Saccharibacteria_genera_incertae_sedis	Unassigned	0.004	0.012	0.006	0.003	0.003	0	0.005	0.008	0.011	0	0.028	0.003	0	0.03
ASV_415	2.683	8.647	0.147804295147349	0.494749491771852	NotSig	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto	Unassigned	0.07	0.01	0	0.417	0	0	0.003	0	0	0	0.003	0	0	0.06
ASV_294	-0.565	8.986	0.147997618619794	0.494767134166046	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.036	0.057	0.049	0.048	0.036	0.024	0.016	0.046	0.057	0.037	0.083	0.05	0.038	0.079
ASV_474	0.756	8.356	0.14819020667554	0.494782276349424	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	Unassigned	0.034	0.021	0.037	0.081	0.01	0.021	0.044	0.014	0.027	0.016	0.028	0.014	0.014	0.03
ASV_1794	1.812	7.126	0.148650556986621	0.495690260369835	NotSig	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium_urocaniciphilum	0.012	0.004	0.006	0	0.042	0.003	0.018	0.003	0	0	0	0	0.022	0
ASV_2669	1.452	6.64	0.149151312534518	0.496730510478883	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Unassigned	Unassigned	0.007	0.002	0	0.014	0	0.011	0.005	0.011	0.005	0.008	0	0	0	0
ASV_1652	-1.217	6.696	0.149490489419865	0.49723069236873	NotSig	Bacteria	Acidobacteria	Acidobacteria_Gp10	Unassigned	Unassigned	Gp10	Unassigned	0.003	0.007	0.009	0	0.005	0.003	0	0	0.011	0.011	0.014	0.006	0	0.003
ASV_928	1.703	7.604	0.149876767690649	0.497886080548103	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodopseudomonas	Rhodopseudomonas_rhenobacensis	0.02	0.006	0.024	0.014	0.083	0	0	0	0.008	0.008	0	0.003	0.019	0
ASV_726	-0.694	7.747	0.150152277337036	0.498172309802954	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium_silamurunense	0.012	0.02	0.015	0.008	0.01	0.013	0.005	0.019	0.014	0.024	0.022	0.019	0.027	0.016
ASV_461	0.8	10.216	0.150967786958612	0.50008404739373	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned	0.138	0.087	0.061	0.078	0.044	0.334	0.114	0.194	0.049	0.087	0.136	0.143	0.019	0.087
ASV_2874	-1.529	6.264	0.151108634617262	0.50008404739373	NotSig	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.004	0	0	0	0	0.005	0	0	0	0.003	0.008	0.005	0.005
ASV_246	0.697	8.672	0.152115419918221	0.502160058118286	NotSig	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Bacillus_thuringiensis	0.044	0.029	0.079	0.064	0.023	0.013	0.039	0.046	0.019	0.018	0.03	0.039	0.011	0.055
ASV_2408	1.228	6.633	0.152337432893418	0.502160058118286	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Unassigned	Unassigned	Unassigned	0.006	0.003	0.003	0.008	0	0	0.008	0.019	0.003	0	0.003	0.003	0.003	0.005
ASV_1657	-1.791	6.295	0.152559439806963	0.502160058118286	NotSig	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	Unassigned	0.001	0.004	0	0.003	0	0	0	0.003	0.019	0	0.003	0.003	0	0
ASV_977	-0.837	7.395	0.152635707890139	0.502160058118286	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Unassigned	Unassigned	Unassigned	0.008	0.015	0.009	0.008	0.018	0.003	0.005	0.003	0.016	0.018	0.019	0.014	0.016	0.005
ASV_349	0.721	8.99	0.152690249522854	0.502160058118286	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	Pedomicrobium_manganicum	0.057	0.035	0.046	0.109	0.075	0.061	0.016	0.033	0.043	0.055	0.042	0.014	0.014	0.044
ASV_313	-0.609	8.864	0.153144510638551	0.50273725759044	NotSig	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Unassigned	Unassigned	Unassigned	0.031	0.052	0.027	0.025	0.023	0.042	0.041	0.025	0.084	0.026	0.055	0.041	0.051	0.052
ASV_2441	-0.994	6.827	0.153247921165919	0.50273725759044	NotSig	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Leptospiraceae	Unassigned	Unassigned	0.004	0.008	0	0.003	0.003	0.005	0.008	0.003	0.008	0.005	0.008	0.019	0.005	0.003
ASV_1895	-1.289	6.476	0.153849405856761	0.504081926287842	NotSig	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.002	0.005	0	0.003	0	0.005	0.003	0	0	0.003	0.008	0.003	0.003	0.016
ASV_2792	-1.433	6.211	0.15407291798257	0.504186377129528	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.003	0.003	0.003	0	0	0	0	0	0	0.003	0.008	0.005	0.003
ASV_2912	-1.644	6.078	0.154466934813159	0.504847832911083	NotSig	Bacteria	Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	Unassigned	0	0.002	0	0	0	0.003	0	0	0.005	0.003	0.006	0	0	0
ASV_2103	-1.924	6.131	0.154977431137591	0.505887867646404	NotSig	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Ohtaekwangia	Unassigned	0.001	0.003	0.003	0	0	0	0	0	0	0	0	0.008	0.008	0
ASV_419	0.925	8.552	0.155216430189446	0.506040183182692	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	Arenimonas_daejeonensis	0.037	0.023	0.018	0.011	0.029	0.048	0.096	0.022	0.008	0.005	0.014	0.033	0.041	0.038
ASV_2172	-1.088	6.41	0.155425704945031	0.506095333799972	NotSig	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.002	0.005	0.003	0.003	0.003	0.003	0	0	0.005	0.003	0.008	0.006	0	0.005
ASV_1628	1.182	6.987	0.155860980972401	0.506414015482231	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Unassigned	0.01	0.005	0.006	0.006	0	0.016	0.008	0.025	0	0	0.003	0.017	0.003	0.005
ASV_2371	1.521	6.226	0.155908533842876	0.506414015482231	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Unassigned	0.003	0.001	0.003	0.008	0	0	0.005	0.003	0	0.005	0	0	0	0
ASV_1017	1.152	7.617	0.157077333524205	0.509581337240669	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Unassigned	0.018	0.009	0	0.008	0.042	0.021	0.026	0.008	0.003	0.024	0.006	0.003	0.014	0.003
ASV_181	-0.552	9.877	0.157372184048921	0.509909133291517	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Steroidobacter	Steroidobacter_denitrificans	0.073	0.109	0.134	0.078	0.06	0.042	0.026	0.096	0.119	0.103	0.119	0.129	0.073	0.112
ASV_367	1.043	8.702	0.157902955457796	0.510999601241649	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.046	0.025	0.046	0.039	0.164	0.005	0.003	0.019	0.016	0.018	0.044	0.036	0.008	0.027
ASV_2666	0.842	7.062	0.158433667630228	0.512087198446107	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.01	0.006	0.015	0.006	0.01	0.005	0.008	0.016	0.005	0	0.003	0.006	0.008	0.014
ASV_1554	-0.912	7.067	0.158716848964695	0.512373042486027	NotSig	Bacteria	Bacteroidetes	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.006	0.011	0.012	0.014	0.003	0.003	0	0.003	0.014	0.013	0.019	0.008	0.008	0.003
ASV_1058	-1.045	7.34	0.159902729013457	0.515568725532359	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	Sorangium_cellulosum	0.007	0.016	0.021	0.006	0	0.008	0.003	0.005	0.005	0.013	0.033	0.028	0	0.014
ASV_1732	-2.201	6.847	0.160730842495199	0.517604463408653	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.002	0.01	0	0.003	0	0.003	0.005	0	0.062	0	0	0	0	0
ASV_1252	-0.911	6.947	0.161186322850242	0.518436693666241	NotSig	Bacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.005	0.01	0.003	0.003	0.005	0.003	0.003	0.011	0.014	0.003	0.011	0.019	0.003	0.008
ASV_2016	-1.227	6.438	0.161641970873164	0.519267430240897	NotSig	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.002	0.005	0.003	0.006	0	0	0	0.003	0.011	0	0.008	0.006	0	0.005
ASV_1175	-0.719	7.216	0.162354164606099	0.51973654636848	NotSig	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.007	0.012	0.006	0.006	0.005	0.013	0.005	0.005	0.011	0.013	0.014	0.008	0.011	0.016
ASV_2210	-1.013	6.628	0.162532428427493	0.51973654636848	NotSig	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.003	0.006	0	0.003	0.003	0.003	0.005	0.003	0.011	0.003	0.003	0.006	0.003	0.014
ASV_1411	0.933	6.72	0.16261064418682	0.51973654636848	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned	0.007	0.004	0.012	0.008	0	0.011	0.003	0.008	0.005	0.003	0.006	0.003	0	0.005
ASV_424	-0.73	8.171	0.16286381493997	0.51973654636848	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Steroidobacter	Unassigned	0.018	0.031	0.021	0.022	0.018	0.011	0.005	0.027	0.016	0.011	0.064	0.022	0.046	0.027
ASV_2442	-1.44	6.526	0.162927621196915	0.51973654636848	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned	0.002	0.006	0	0.003	0.005	0.003	0	0	0	0	0.003	0.022	0.005	0.005
ASV_907	1.599	7.186	0.162973261404027	0.51973654636848	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Cystobacter	Unassigned	0.016	0.005	0.052	0.039	0	0.003	0	0	0	0	0.006	0.017	0.003	0.003
ASV_1721	1.227	6.75	0.16360555846212	0.521121336941691	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Gordonia	Unassigned	0.007	0.003	0.003	0.008	0.021	0.003	0.005	0.003	0	0	0	0.011	0.005	0.003
ASV_625	1.01	8.853	0.16382236077158	0.521180932515147	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned	0.049	0.029	0.009	0.022	0.177	0.053	0.013	0.022	0.011	0.008	0.055	0.052	0.011	0.038
ASV_2772	-1.145	6.301	0.164762489635926	0.523332289129339	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Unassigned	Unassigned	0.001	0.004	0.003	0.003	0	0.003	0	0	0.003	0.005	0.003	0.006	0.003	0.003
ASV_94	0.987	11.037	0.165068477410003	0.523332289129339	NotSig	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.225	0.145	0.125	0.053	0.06	0.08	0.971	0.063	0.138	0.085	0.266	0.116	0.133	0.134
ASV_677	-0.752	7.651	0.165146345433441	0.523332289129339	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Unassigned	Unassigned	Unassigned	0.011	0.019	0.03	0.006	0.005	0.005	0.01	0.008	0.03	0.016	0.017	0.019	0.016	0.016
ASV_552	-0.79	8.148	0.16577672234642	0.523332289129339	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.016	0.029	0.018	0.02	0.029	0.019	0	0.014	0.014	0.042	0.022	0.019	0.051	0.027
ASV_2130	1.319	6.302	0.165986112847052	0.523332289129339	NotSig	Bacteria	Chloroflexi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.004	0.001	0.012	0.003	0	0.005	0.003	0	0.003	0	0.003	0	0	0.003
ASV_1055	-0.804	7.744	0.166016460435865	0.523332289129339	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.012	0.021	0.018	0.014	0	0.021	0.008	0.008	0.027	0.021	0.014	0.008	0.035	0.019
ASV_2227	1.261	6.415	0.166183045799243	0.523332289129339	NotSig	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.005	0.002	0	0.008	0	0.011	0.003	0.005	0.003	0	0	0.003	0	0.005
ASV_2875	-1.056	6.529	0.166515190910052	0.523332289129339	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Unassigned	0.002	0.005	0.003	0.003	0.003	0	0.003	0.003	0.003	0.008	0.014	0.003	0.003	0.003
ASV_1450	-0.928	6.772	0.166518103681312	0.523332289129339	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Unassigned	Unassigned	0.004	0.008	0.009	0.006	0	0	0.003	0.005	0.008	0.003	0.017	0.008	0.005	0.005
ASV_636	0.71	7.89	0.166679161716594	0.523332289129339	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Unassigned	0.022	0.015	0.018	0.014	0.016	0.029	0.026	0.027	0.008	0.008	0.017	0.006	0.022	0.027
ASV_558	-1.75	7.694	0.166818700560875	0.523332289129339	NotSig	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.007	0.023	0.024	0	0	0	0	0.019	0.027	0	0	0.008	0.097	0.008
ASV_353	0.711	8.866	0.166885515233567	0.523332289129339	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Unassigned	0.048	0.033	0.037	0.048	0.08	0.024	0.065	0.033	0.014	0.011	0.025	0.052	0.046	0.049
ASV_1466	0.813	7.001	0.167712431725345	0.525280400162749	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter_fusiformis	0.009	0.005	0.012	0.006	0.008	0.008	0.013	0.008	0.003	0.005	0	0.008	0.005	0.011
ASV_152	-0.596	10.149	0.168002939972525	0.525280400162749	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Unassigned	Unassigned	0.083	0.137	0.043	0.123	0.049	0.05	0.093	0.142	0.138	0.071	0.255	0.124	0.135	0.098
ASV_2321	-1.108	6.418	0.168105700090093	0.525280400162749	NotSig	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.002	0.005	0.003	0.003	0	0.003	0	0.003	0.003	0.003	0	0.008	0.008	0.005
ASV_1509	-1.17	6.952	0.16888401563094	0.525744665776148	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Cystobacter	Cystobacter_violaceus	0.004	0.01	0.003	0.008	0.003	0.005	0.003	0.003	0	0.024	0.025	0.008	0	0.003
ASV_1486	-0.864	7.13	0.168906876182329	0.525744665776148	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Unassigned	Unassigned	0.006	0.011	0.012	0.011	0.003	0	0.003	0.008	0.016	0.018	0.006	0.006	0.014	0.008
ASV_728	-0.89	8.01	0.169264867867104	0.525744665776148	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Dongia	Dongia_mobilis	0.014	0.028	0.012	0.014	0.023	0.008	0.008	0.016	0.014	0.005	0.014	0.091	0.014	0.03
ASV_2181	1.403	6.599	0.169301519945188	0.525744665776148	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Paraherbaspirillum	Paraherbaspirillum_soli	0.007	0.002	0.012	0.008	0	0.008	0.003	0.008	0.014	0	0	0	0	0
ASV_2574	-1.094	6.416	0.169451811425725	0.525744665776148	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned	0.002	0.005	0	0.003	0.003	0.003	0	0.003	0.008	0	0.003	0.003	0.008	0.005
ASV_1497	-1.138	6.649	0.169704488908708	0.525744665776148	NotSig	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Unassigned	0.003	0.007	0.006	0.003	0	0.003	0	0.005	0.016	0.003	0.014	0.006	0	0.003
ASV_46	-0.464	11.919	0.169909081072991	0.525744665776148	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Steroidobacter	Steroidobacter_denitrificans	0.318	0.455	0.399	0.341	0.218	0.451	0.179	0.317	0.351	0.539	0.48	0.506	0.371	0.483
ASV_1490	-1.328	7.318	0.170064752387153	0.525744665776148	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Phytohabitans	Phytohabitans_flavus	0.006	0.015	0.021	0.011	0	0	0.003	0.003	0.027	0	0.014	0.011	0.041	0
ASV_1230	0.853	7.155	0.170177284012779	0.525744665776148	NotSig	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Unassigned	0.011	0.006	0.006	0.008	0.005	0.011	0.018	0.016	0.005	0.003	0.003	0.006	0.016	0.005
ASV_1264	-1.011	6.718	0.170252548552367	0.525744665776148	NotSig	Bacteria	Acidobacteria	Acidobacteria_Gp17	Unassigned	Unassigned	Gp17	Unassigned	0.003	0.007	0.003	0.006	0	0	0.005	0.005	0.008	0.005	0.019	0.006	0.003	0.003
ASV_2352	-1.083	6.409	0.171654999274606	0.529454048172906	NotSig	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.002	0.005	0.003	0	0	0.003	0	0.005	0.005	0	0.008	0.006	0.003	0.005
ASV_2272	1.171	6.616	0.172437718878162	0.53124547818319	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	Microvirga_guangxiensis	0.007	0.003	0.012	0.014	0	0.005	0	0.008	0	0.005	0.006	0	0	0.005
ASV_1163	-0.968	7.097	0.172844830421887	0.531876899228052	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Rubrivivax	Rubrivivax_gelatinosus	0.006	0.011	0.003	0.006	0	0.003	0	0.022	0.016	0.016	0.011	0.011	0.005	0.008
ASV_2879	-1.147	6.653	0.173331267207593	0.532750658905582	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.003	0.007	0.006	0.003	0	0.003	0	0.005	0.005	0.011	0	0.003	0.003	0.019
ASV_2701	-1.272	6.338	0.173820776051354	0.533585468327095	NotSig	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.004	0	0	0.003	0.005	0	0	0.003	0.003	0	0.006	0.003	0.011
ASV_1778	1.538	6.349	0.174008487960717	0.533585468327095	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	0.004	0.001	0	0.006	0	0.011	0.008	0	0	0	0.006	0	0	0.003
ASV_2688	1.599	6.5	0.17460777309951	0.534117083624291	NotSig	Bacteria	Acidobacteria	Acidobacteria_Gp10	Unassigned	Unassigned	Gp10	Unassigned	0.006	0.002	0.009	0	0.013	0	0	0.011	0	0	0.008	0	0	0.003
ASV_2303	-1.146	6.296	0.174660584802815	0.534117083624291	NotSig	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.004	0.006	0.003	0	0	0	0	0.003	0.003	0.006	0.003	0.005	0.003
ASV_2841	0.82	7.005	0.174912145398088	0.534117083624291	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Unassigned	Unassigned	0.009	0.005	0.006	0.006	0.016	0.013	0.01	0.003	0.005	0.005	0.003	0.006	0.005	0.008
ASV_1063	-0.781	6.886	0.174993890567898	0.534117083624291	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.005	0.009	0.009	0.006	0.003	0.003	0.003	0.005	0.011	0.003	0.014	0.006	0.008	0.011
ASV_600	0.621	8.028	0.175445345174603	0.534150680902343	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Aquabacterium	Unassigned	0.025	0.017	0.024	0.025	0.016	0.034	0.016	0.033	0.022	0.011	0.022	0.017	0.022	0.008
ASV_2400	0.997	6.465	0.176046225767074	0.534150680902343	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Unassigned	Unassigned	0.005	0.002	0.006	0.003	0.005	0.008	0.003	0.003	0	0	0.003	0.006	0.003	0.003
ASV_1043	-1.367	7.482	0.176094967596905	0.534150680902343	NotSig	Bacteria	Acidobacteria	Acidobacteria_Gp10	Unassigned	Unassigned	Gp10	Unassigned	0.007	0.019	0.012	0.014	0.008	0.008	0	0	0.008	0.003	0.003	0.091	0	0.008
ASV_795	-0.925	7.463	0.176379410527915	0.534150680902343	NotSig	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.008	0.017	0.003	0.014	0.003	0.003	0.008	0.019	0.03	0.018	0.028	0.011	0	0.014
ASV_2438	-0.985	7.21	0.176417180366995	0.534150680902343	NotSig	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Unassigned	Unassigned	0.006	0.013	0.003	0.022	0.003	0	0	0.011	0.014	0.013	0.03	0.011	0.005	0.005
ASV_1852	-1.301	7.418	0.176423822472469	0.534150680902343	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Dactylosporangium	Unassigned	0.007	0.017	0.009	0.022	0.005	0.005	0	0	0.005	0	0.006	0.008	0.073	0.008
ASV_2038	1.629	6.388	0.176426051578919	0.534150680902343	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Uliginosibacterium	Uliginosibacterium_gangwonense	0.005	0.001	0.003	0.008	0.016	0	0	0	0	0	0.006	0	0.003	0
ASV_909	0.694	8.007	0.176901578216777	0.5345074226289	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Unassigned	0.025	0.016	0.012	0.05	0.023	0.027	0.016	0.022	0.003	0.013	0.028	0.019	0.011	0.025
ASV_2445	-1.013	6.715	0.176950195784786	0.5345074226289	NotSig	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Unassigned	Unassigned	Unassigned	0.003	0.007	0	0.006	0.008	0	0	0.005	0.003	0.003	0.017	0.008	0.008	0.005
ASV_1973	-1.154	6.653	0.177485159761861	0.53550854969433	NotSig	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula	Blastopirellula_cremea	0.003	0.007	0	0.008	0.005	0.003	0	0	0.011	0.005	0.017	0.006	0.003	0
ASV_47	0.45	12.289	0.177713355351179	0.535582861316097	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unassigned	Unassigned	0.546	0.432	0.537	0.456	0.496	0.525	0.57	0.692	0.354	0.359	0.377	0.616	0.417	0.47
ASV_1862	0.603	7.893	0.178487682015553	0.537127545330917	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Unassigned	Unassigned	0.021	0.015	0.021	0.022	0.021	0.016	0.023	0.025	0.022	0.011	0.014	0.019	0.014	0.011
ASV_123	0.446	10.465	0.178793846924532	0.537127545330917	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Aquabacterium	Unassigned	0.152	0.118	0.177	0.171	0.104	0.146	0.158	0.159	0.105	0.121	0.141	0.107	0.13	0.104
ASV_1101	-1.222	7.51	0.179032467358499	0.537127545330917	NotSig	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Unassigned	Unassigned	0.008	0.02	0.021	0.02	0	0.005	0	0.003	0.005	0.005	0.006	0.006	0.008	0.09
ASV_2719	-2.018	6.35	0.179245641616694	0.537127545330917	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned	0.001	0.005	0	0.006	0	0	0	0	0	0	0	0.008	0	0.022
ASV_1996	-1.505	6.543	0.179246668491275	0.537127545330917	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.002	0.006	0.009	0	0.003	0	0	0	0	0.005	0.003	0.008	0.019	0
ASV_1369	0.871	7.107	0.179870589175252	0.538378955241203	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.01	0.006	0.003	0.011	0.003	0.019	0.016	0.011	0.005	0.013	0.006	0.003	0.005	0.003
ASV_2331	1.238	6.752	0.180073538811197	0.538378955241203	NotSig	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.007	0.003	0.003	0.006	0.026	0	0.003	0.005	0.008	0.003	0.006	0	0.003	0
ASV_253	0.652	9.583	0.180767562354997	0.538801644685633	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned	0.082	0.054	0.067	0.042	0.075	0.114	0.083	0.112	0.046	0.114	0.03	0.055	0.057	0.025
