OTUID	logFC	logCPM	PValue	FDR	level	Kingdom	Phylum	Class	Order	Family	Genus	Species	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_1557	-2.822	6.93	0.000159210017259822	0.0191276720155948	Depleted	Bacteria	Verrucomicrobia	Subdivision3	Unassigned	Unassigned	Subdivision3_genera_incertae_sedis	Unassigned	0.001	0.012	0.003	0.003	0	0	0.003	0	0.005	0.018	0.006	0.017	0.014	0.014
ASV_2863	-2.377	7.575	0.000180178996163865	0.0191276720155948	Depleted	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.004	0.024	0.009	0.003	0	0.008	0	0.005	0.008	0.024	0.025	0.017	0.03	0.041
ASV_1533	-3.105	6.806	0.000185000733673741	0.0191276720155948	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	Unassigned	0.001	0.011	0.003	0.003	0	0	0	0	0.005	0.013	0.022	0.006	0.014	0.005
ASV_1005	-2.289	7.163	0.000192070807478176	0.0191276720155948	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Ohtaekwangia	Unassigned	0.003	0.015	0.009	0.003	0	0.003	0	0.003	0.014	0.021	0.019	0.014	0.011	0.014
ASV_553	-2.076	7.99	0.000196571913356131	0.0191276720155948	Depleted	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Unassigned	Unassigned	Unassigned	0.007	0.034	0.006	0.011	0.008	0.016	0.003	0	0.035	0.04	0.047	0.036	0.016	0.027
ASV_951	-2.471	6.938	0.000202250007444108	0.0191276720155948	Depleted	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	Unassigned	0.002	0.012	0.003	0.006	0	0	0	0.003	0.011	0.016	0.014	0.006	0.011	0.016
ASV_201	1.827	10.019	0.000207055553050654	0.0191276720155948	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia_namucuonensis	0.144	0.045	0.25	0.07	0.065	0.098	0.274	0.107	0.051	0.042	0.039	0.036	0.032	0.068
ASV_1350	2.832	7.082	0.000210422209810798	0.0191276720155948	Enriched	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Unassigned	0.014	0.002	0.012	0.025	0.023	0.003	0.016	0.005	0.003	0.003	0.003	0	0.003	0
ASV_581	-2.319	7.823	0.000213704797138546	0.0191276720155948	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Ohtaekwangia	Unassigned	0.006	0.03	0.018	0.008	0	0.003	0.003	0.003	0.049	0.016	0.039	0.017	0.038	0.022
ASV_2902	-1.964	8.508	0.000213977054137043	0.0191276720155948	Depleted	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned	0.013	0.052	0.03	0.014	0.003	0.013	0.005	0.011	0.027	0.037	0.061	0.028	0.079	0.079
